5142779
/m/0d4rk1
/m/0d4rk1
James Kelman
1994
{"/m/05hgj": "Novel"}
a 15
about 9
admits 1
affected 1
after 2
agrees 1
all 1
ally 2
also 1
an 2
and 21
angry 1
anything 1
apartment 1
appointment 1
approached 1
approaches 1
arrives 1
as 2
asks 3
assumes 1
at 6
attempt 1
awakens 1
back 2
bar 3
barhis 1
bath 1
bathtub 1
be 1
beaten 3
because 2
been 1
before 2
being 4
benefits 2
billy 1
binge 1
blind 3
blindness 4
boab 2
bored 1
brings 1
but 5
by 9
call 1
called 1
calm 1
can 1
cannot 2
cant 2
cell 1
central 2
centre 1
checked 1
city 1
clarify 1
comes 1
commission 1
completely 1
consciousness 1
cops 1
cover 1
cuffed 1
cuts 1
day 1
decides 2
department 1
diagnose 1
diagnoses 1
dialect 1
difficult 1
difficulties 1
disability 1
doctor 3
doctors 1
door 1
down 2
drinking 1
dysfunctional 2
else 1
end 1
enter 1
eventually 2
ever 1
explores 1
eyes 1
family 1
favourite 1
fight 2
filing 1
find 1
finds 2
finishing 1
flags 1
floor 1
follows 1
for 5
friend 2
friendassociate 1
friends 1
from 2
gave 1
get 1
gets 3
girlfriend 1
give 2
glancys 1
glaswegian 1
go 2
goes 2
going 2
gone 1
gradually 1
had 1
hang 1
has 2
having 1
he 18
head 1
hears 1
helen 4
help 1
her 3
him 6
himself 1
his 20
home 2
house 2
how 1
if 1
immediately 1
in 6
indicate 1
informs 1
inside 1
instructed 1
into 1
investigate 1
is 12
it 4
keeps 1
keith 2
know 1
lady 1
lane 1
last 1
later 2
leaves 4
leaving 1
left 1
leg 1
makes 2
man 1
marks 1
medical 2
meets 1
men 2
met 1
money 4
mop 1
morning 1
much 1
name 2
nearby 1
need 1
neighbor 1
neighbour 1
newfound 1
no 2
not 1
novel 1
now 1
odjers 1
of 8
off 2
offers 1
office 1
old 3
on 2
once 1
one 2
other 1
out 2
outand 1
over 1
paints 1
pair 1
payment 1
people 1
persuades 1
pestering 1
peter 5
pictures 1
plainclothes 1
plot 1
police 2
policemen 1
promotion 1
pub 1
purchases 1
question 1
questioned 1
questions 2
quinns 2
realises 1
realizes 2
record 1
refuses 2
regains 1
regrets 1
released 2
remember 2
remove 1
representation 1
sammy 34
sammys 1
saturday 2
says 1
seems 1
sends 1
series 1
severely 1
she 3
should 1
simple 1
so 1
soldiers 1
some 1
someone 1
something 1
son 1
soon 1
statement 1
struggles 1
sunglasses 1
take 4
taken 1
takes 1
taking 1
tam 4
tasks 1
taxi 2
tell 1
telling 1
tells 1
terms 1
that 9
the 31
there 2
they 3
this 4
throw 1
to 26
told 1
took 1
tries 1
two 2
up 2
upon 2
upset 3
upsets 1
vision 1
waiting 1
walks 1
went 1
what 1
when 2
while 2
white 1
who 2
will 2
wishes 1
with 7
without 1
wonders 1
worked 2
young 2
