11925563
/m/02ry9x3
/m/02ry9x3
Alison Croggon


13yearold 1
a 20
abandon 1
abandoned 1
abilities 1
able 4
about 1
accompany 1
advancing 1
afinil 2
after 5
against 1
alerted 1
alison 1
alive 1
all 3
allow 1
almost 1
along 2
also 2
amon 5
an 2
ancient 2
and 38
anxious 1
appendices 1
ardina 1
are 9
arkan 1
army 4
arrive 1
arriving 1
art 1
as 7
assure 1
at 1
attacked 2
attacks 1
attempt 1
back 2
bard 1
bards 1
be 4
because 1
becomes 1
bedridden 1
been 1
before 1
begins 1
behind 1
being 2
believe 1
believed 1
believes 2
besides 1
besieged 1
bids 1
black 3
blackclad 1
book 1
both 1
brewed 1
brief 1
bringing 1
brings 1
brother 2
but 3
by 7
cadvan 10
calling 1
came 1
can 1
caretaker 1
carrying 1
catching 1
caught 1
citadel 1
cold 1
collaborating 1
combination 1
considerable 1
contemplating 1
continue 1
converse 1
couple 1
crow 1
cure 1
dark 2
days 1
dead 2
dealing 1
death 1
decide 2
decides 1
decorated 1
defend 1
desperate 1
despite 1
destroy 2
destroyed 1
destroying 1
destruction 1
devastated 1
die 1
discover 1
disease 1
do 1
doing 1
dreams 1
due 1
during 1
elednor 1
elemental 1
elidhu 3
encounter 1
encounters 1
ends 1
eventually 1
expresses 2
extreme 1
facing 1
falling 1
falls 1
fatal 1
fear 2
fears 1
feels 1
felt 1
figure 1
finally 3
find 2
first 1
flash 1
floods 2
follow 1
for 3
forced 1
fork 1
friend 1
friends 2
from 2
get 2
gets 1
go 1
greatest 1
group 2
half 1
has 6
have 2
haven 1
he 7
heal 1
healerbards 1
healing 2
hekibel 4
help 1
hem 16
her 18
him 5
himself 1
his 3
historical 1
hold 1
home 1
hoping 1
how 1
hull 1
hulls 2
if 1
ill 2
imperative 1
in 8
including 1
indeed 1
infected 1
inn 1
innail 6
into 2
invited 1
irc 3
is 24
it 8
its 1
join 1
karim 5
know 1
known 1
knows 1
landrost 4
later 1
learn 1
learns 1
leave 5
leaving 1
left 1
let 1
life 1
light 1
lirigon 3
locate 1
lose 1
lost 1
lyre 2
mad 1
made 1
maerad 23
magical 1
maid 1
make 1
man 1
manage 1
manages 1
many 1
marching 1
marich 3
match 1
may 1
meaning 1
meant 1
meanwhile 1
meet 2
members 1
mental 1
merges 1
met 1
minor 1
mourning 1
moving 1
much 1
musical 1
must 1
named 1
nameless 1
near 1
neardeath 1
need 1
nelac 1
new 1
news 1
next 1
none 1
not 1
nothing 1
now 4
objects 1
occupants 1
of 31
offering 1
old 1
on 4
once 1
one 1
ones 1
only 2
open 1
own 1
part 1
party 1
path 1
people 1
performance 1
pet 1
play 1
players 4
pleas 1
ponders 1
power 2
powers 1
prepares 1
prey 1
profit 1
proving 1
purposes 1
quick 1
quickly 1
quite 1
reach 1
realised 1
recovers 1
refuses 2
reluctant 1
remorse 1
rest 1
resting 1
return 1
returned 1
returns 1
runes 2
saliman 11
same 1
sang 1
saved 2
school 1
second 1
seemingly 1
sees 1
self 1
senses 1
seriously 1
serve 1
set 1
shares 1
sharma 4
sharmathe 1
she 11
shelter 1
shortly 2
show 1
shown 2
sickness 2
siege 1
sight 1
sights 1
significance 1
sing 1
singing 2
site 2
skill 1
slightly 1
snowstorm 1
so 1
song 2
soon 1
soron 2
speaking 1
speech 3
spending 1
stays 1
still 2
stolen 1
strip 1
subdue 1
succeeds 2
summoning 1
summons 1
supposed 1
take 2
taunting 1
teacher 1
thanks 1
that 9
the 62
their 2
them 3
themselves 3
then 1
there 1
they 11
through 1
til 5
time 4
to 49
too 1
tower 1
trapped 1
travel 1
traveling 4
treesong 5
tries 1
trio 1
truename 3
tuning 1
turbansk 1
unaware 1
united 1
unnatural 1
up 5
upon 2
uses 1
usual 1
very 1
victim 1
warn 2
was 2
way 1
well 3
what 1
when 2
where 1
which 5
white 3
who 2
whole 2
whom 1
will 1
winterking 1
wish 1
with 19
witnessing 1
would 1
zelika 1
