10379089
/m/02q9xv4
/m/02q9xv4
Clare Bell
1983
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 11
abandoning 1
about 1
according 1
after 1
again 1
all 1
also 2
among 1
and 20
animals 1
any 1
are 5
as 3
at 1
attack 1
attacking 1
attacks 1
back 1
backs 1
battle 2
be 1
became 1
become 1
before 1
believes 1
between 1
bidding 1
big 1
biting 1
bittersweet 1
bonechewer 3
bright 1
bucks 1
build 1
by 5
cats 1
chance 1
changes 1
cheetahlike 1
chief 1
clan 13
clans 1
close 1
creature 2
creatures 1
crippling 1
cub 1
cubs 1
dapple 1
death 1
deer 1
despite 1
develop 1
discovers 1
discovery 1
dominance 1
dont 1
drives 1
driving 1
dubs 1
dying 1
each 1
edge 1
emerges 1
enemy 1
everything 1
except 1
exile 1
expectations 1
fatally 1
female 3
fessran 3
fight 2
finds 1
fire 3
firekeepers 2
flees 1
flies 1
for 2
forbidden 1
gives 1
has 2
have 1
he 2
her 9
herder 2
herders 1
herding 2
herds 1
him 3
his 2
horns 1
horses 1
however 2
hunt 1
hunted 1
in 6
injured 1
into 1
is 6
it 1
kills 1
knows 1
languages 1
laws 1
lead 1
leader 2
leadership 1
litter 1
live 1
lone 1
loves 1
made 1
makes 1
male 4
mate 3
mating 1
meets 1
member 1
meoran 3
more 1
named 4
new 1
nonsentient 2
numerous 1
of 9
offers 1
on 1
once 1
only 1
opposes 1
out 1
over 1
overthrows 1
people 3
prehistoric 1
prey 1
probably 1
rage 1
ratha 9
rathas 1
reacquires 1
realizes 1
red 5
resulting 1
returning 1
selfaware 1
she 10
since 1
some 1
speaks 1
still 1
striking 1
strong 1
strongwilled 1
surrounding 1
survival 1
survive 2
teacher 1
teaches 1
tend 1
terror 1
thakur 2
thakurs 1
that 4
the 41
they 4
thistlechaser 1
those 1
three 1
title 1
to 6
tongue 5
took 1
torch 1
torches 1
tradition 1
traditions 1
training 1
troubled 1
two 1
tyrannical 1
unnamed 8
use 1
very 1
victory 1
was 1
weapon 1
well 1
when 2
who 3
wield 1
will 2
with 4
wounded 1
wrong 1
young 3
