9025963
/m/027tzcw
/m/027tzcw
Sean McMullen
2004
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 6
after 1
all 1
an 1
and 4
any 1
before 1
book 1
but 1
by 3
company 1
courtier 1
crew 1
destroy 2
device 1
discovered 1
dragonwall 3
drain 1
energy 1
fallen 1
first 1
food 1
genius 1
good 1
group 1
has 3
help 1
impossible 1
in 1
is 1
it 4
late 1
led 1
looked 1
magicians 1
make 1
means 1
meanwhile 1
more 1
motley 1
must 1
nearly 1
necessary 1
new 1
nothing 1
of 4
old 1
one 1
planet 1
pleasant 1
plus 1
priestess 2
purpose 1
sea 1
soldiers 1
sorceress 1
stop 1
storms 3
sweep 1
than 1
that 2
the 11
them 1
thinks 1
to 4
too 1
travel 1
travels 1
true 1
unlikely 1
up 1
use 1
vampire 1
wants 1
way 1
weapon 1
when 1
who 2
will 1
with 1
world 1
