15096449
/m/03hh8gr
/m/03hh8gr
David Baldacci
2001-06-30
{"/m/0lsxr": "Crime Fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
100000 1
5 1
a 24
accept 1
acclaimed 1
achieve 1
acknowledging 1
admires 1
adventures 1
africanamerican 1
afterwards 1
all 2
also 3
amanda 6
an 4
and 18
argument 2
around 1
arrive 1
as 3
asleep 1
at 4
avoid 1
awakened 1
awakes 1
back 2
barn 1
battle 1
be 2
being 1
better 1
bigger 1
blocking 1
book 1
both 2
boy 2
brother 1
burned 1
but 8
by 4
california 1
calmed 1
car 3
cardinal 3
case 2
causing 1
children 5
chores 1
city 1
coal 1
collection 1
comes 3
comfort 1
comfortable 1
company 1
completely 1
concerns 1
constellations 1
continue 1
control 1
cotton 4
court 2
dangerfilled 1
davis 1
dead 1
diamond 2
dies 1
different 1
discovered 1
discussing 1
dog 1
driver 1
drives 1
drove 1
due 1
dynamite 1
each 2
end 1
ends 1
ensue 1
epilogue 1
escalates 1
eugene 1
eventful 1
eventually 1
explosion 1
faints 1
family 2
farm 1
farmer 1
fate 1
father 1
financial 1
fish 1
for 3
forward 1
free 1
from 4
funeral 1
further 1
gas 1
george 1
get 1
girl 1
goes 2
going 1
goode 1
greatgrandmother 1
greatly 1
ground 1
happy 1
hateful 1
have 2
he 3
head 1
help 1
helping 1
her 6
higher 1
him 1
himself 1
his 3
honest 1
hopes 1
house 1
however 2
hurry 1
idea 2
in 13
incidents 1
into 1
introduces 1
is 18
it 6
items 1
jack 5
jury 1
just 1
killed 1
killing 1
land 3
lawyer 2
learning 1
leaves 1
life 1
lifestyle 1
like 1
little 2
longfellow 1
loses 1
lou 4
louisa 2
louisas 4
lous 1
mae 1
man 4
married 1
meanwhile 1
men 2
middle 2
more 1
mother 1
mountains 1
move 2
moving 1
multiple 1
mute 1
mysterious 1
neighbors 1
new 1
night 1
no 1
not 2
notices 1
now 2
nurse 1
occurs 1
of 12
off 1
offer 4
offering 2
offers 2
often 1
on 4
once 1
one 2
opposed 1
original 1
others 1
out 3
outburst 1
overhears 1
oz 1
paralyzed 1
pay 1
pick 1
picked 1
picks 1
plans 2
playing 1
populated 1
pressure 1
previous 1
promises 1
read 1
received 1
receives 1
refused 1
refuses 1
relieve 1
renowned 1
represented 1
return 1
revealed 4
richmond 1
right 1
road 1
role 1
rolls 1
same 1
save 1
search 1
seeing 1
seem 1
series 2
several 1
she 3
shifts 1
shortcut 1
showing 1
shows 1
simultaneously 1
some 1
something 1
soon 1
southern 4
sparsely 1
stand 1
starts 3
stating 1
station 1
stop 1
stopped 1
story 3
stress 1
stroke 1
such 1
suffer 1
supported 1
taking 1
than 1
that 10
the 42
their 5
them 4
then 5
there 1
they 7
things 1
through 1
thurston 1
time 2
times 2
timid 1
to 20
told 1
towards 1
towns 1
tried 1
tries 1
trip 1
trying 1
turns 1
two 2
underpaid 1
undeterred 1
unknown 1
up 5
useless 1
valley 4
version 1
very 1
violent 1
virginia 1
way 2
wealthy 1
well 1
what 1
when 2
where 1
while 1
who 3
wife 1
will 1
wins 1
wishing 1
with 6
without 1
would 3
write 1
writer 1
young 1
