921575
/m/03q46m
/m/03q46m
Jung Chang

{"/m/0xdf": "Autobiography", "/m/017fp": "Biography", "/m/02xlf": "Fiction"}
a 22
about 1
absence 1
acting 1
actions 1
after 6
again 3
age 3
allowed 2
alone 1
already 1
an 1
and 21
arduous 1
army 1
arrival 1
as 7
assistant 1
at 6
authorities 1
autobiography 1
aware 1
baby 1
bao 2
be 2
became 3
because 1
become 1
been 1
began 1
beloved 1
biography 1
birth 1
book 3
bound 1
brief 1
brought 1
brutal 1
but 5
by 4
capitalist 1
caused 1
ceremony 1
chang 26
child 3
children 1
china 2
chinese 2
choice 1
come 1
communist 2
complete 1
comply 1
conceived 1
concubine 3
concubines 1
confused 1
conjugal 1
control 1
countryside 1
couple 2
coupled 1
cover 1
criticised 1
cult 1
cultural 3
dangerous 1
daughter 4
death 2
despite 1
deteriorated 1
dictates 1
did 2
die 1
died 2
difficult 2
doctor 1
doubts 1
down 1
dr 1
due 1
during 3
dying 1
education 1
end 1
england 2
english 1
even 2
eventual 1
eventually 2
exhilarated 1
experience 1
false 1
family 4
father 8
feared 1
feelings 1
feet 1
felt 1
fifteen 1
fled 1
focus 1
following 1
foot 1
for 9
fore 1
four 1
free 1
friends 1
from 3
gain 2
gave 1
general 10
genuine 1
girl 1
graduation 1
grandmother 4
grew 1
gruelling 1
guards 2
had 6
hard 1
harsh 1
have 2
he 5
heir 1
helped 1
her 23
highranking 2
him 1
his 7
home 5
hometown 1
household 3
how 1
hugely 1
husband 2
i 1
important 2
in 9
inattentive 1
infancy 1
it 3
jeep 1
jinzhou 1
joined 1
journey 1
jung 2
labeled 1
last 1
lecturer 1
left 2
lies 1
life 4
like 1
lives 1
long 4
longer 1
luxurious 1
made 3
main 1
mainland 1
male 1
man 1
manchuria 1
many 2
mao 6
married 2
meaning 1
meant 1
meetings 1
mentally 1
met 1
mildly 1
military 1
miscarriage 1
more 2
mother 8
mourning 1
moves 1
much 2
named 1
nanjing 1
nation 1
needs 1
never 1
new 1
no 4
not 6
now 2
occasion 1
of 16
off 1
officer 1
older 1
on 2
openly 1
or 1
order 1
other 2
outright 1
over 1
own 1
parents 3
party 3
peasants 1
people 3
permission 1
persistent 1
personality 1
physically 1
place 1
pointless 1
poor 1
precious 1
pregnant 1
previous 1
proclaimed 1
progressed 1
prompted 1
public 1
put 1
qin 1
qindehong 1
quality 1
rank 1
ranks 1
realizing 1
recalls 1
recoiled 1
red 3
reform 1
relating 1
relatively 1
report 1
request 1
requests 1
returned 1
revolution 4
rise 1
roaders 1
rode 1
rumors 1
said 1
schemed 1
scholarship 1
see 3
sending 1
sent 1
servants 2
she 13
shifts 1
shocked 1
sick 1
six 2
so 1
some 1
soon 1
spend 1
started 1
starts 1
status 1
stay 1
still 1
stint 1
story 1
strain 1
struggle 1
studied 1
study 1
subjects 1
succeeded 1
suffered 1
suffering 1
surroundings 1
swore 1
taken 1
target 1
tears 1
teenager 1
tense 1
terms 1
that 6
the 47
their 2
there 2
they 2
though 2
thought 1
thousands 1
through 1
time 1
to 30
today 1
together 1
torture 1
training 2
transferred 1
traveled 1
treatment 1
trek 1
true 2
twentyfour 1
two 1
undertook 1
unexpectedly 1
university 2
until 2
very 2
visit 3
visits 1
wang 1
warlord 1
was 16
wealthy 1
wedding 1
were 5
when 3
which 2
while 1
who 3
whole 1
whom 1
wife 5
willingly 1
with 7
won 1
wondered 1
word 1
words 1
work 1
worked 1
working 1
would 4
writes 1
xia 1
xue 1
year 1
years 2
yibin 1
young 2
yufang 1
yushouyu 1
zedong 1
zhiheng 1
zither 1
