7128383
/m/0h5n0h
/m/0h5n0h
George Sand
1831
1830 1
a 6
accept 1
account 1
advantageous 1
adventurer 1
again 3
age 1
all 1
already 1
always 1
an 4
and 11
another 1
apartments 1
as 2
at 3
attempts 1
attractive 1
be 1
bear 1
before 1
believe 1
bought 1
bourbon 1
but 3
by 2
cannot 1
child 1
colonel 4
comes 2
commit 1
conclusion 1
condemnation 1
cousin 1
creole 1
de 2
dead 1
decide 1
decides 1
declare 1
declares 1
delmare 2
does 2
drowns 1
end 1
escapes 2
even 1
exarmy 1
expecting 1
failing 1
faithfully 1
fall 3
falls 1
finding 1
finds 1
first 1
for 3
france 1
from 3
glorieuses 1
going 1
goiste 1
handsome 1
has 6
he 3
heaven 1
her 12
herself 2
him 4
his 4
home 1
house 2
husband 1
illness 1
in 9
indiana 9
inevitable 1
intended 1
intention 1
interest 1
into 1
is 6
island 1
isolated 1
it 1
jumping 1
just 1
le 2
letter 2
lives 1
living 1
love 6
loved 1
made 1
maid 1
make 1
man 1
marriage 1
married 2
meantime 1
middle 1
mistress 1
move 1
moved 1
named 2
neighbor 1
night 1
no 1
not 2
noun 2
novel 1
of 6
officer 1
older 1
on 4
once 2
one 1
out 1
overlooks 1
passionately 1
place 1
plantation 1
pregnant 1
present 1
ralph 3
ramiere 1
raymon 5
reads 1
rejects 1
requiting 1
rescue 1
revolution 1
runion 2
searches 1
seduce 1
seduced 1
seen 1
she 6
sir 1
society 1
someone 1
spell 1
spite 1
steadfastly 1
stoic 1
story 1
stronger 1
suicide 2
taking 1
tell 1
than 1
that 3
the 19
their 2
they 5
though 1
thought 1
time 1
to 11
together 1
trois 1
under 1
waterfall 1
way 1
wellspoken 1
what 1
when 2
where 1
who 4
whom 1
will 4
with 5
woman 1
writes 1
young 4
