27832029
/m/0cc9tgn
/m/0cc9tgn
Karl Ristikivi
1953
a 11
after 1
agnes 3
alienated 1
and 5
apparently 1
are 1
as 1
author 2
before 1
briefer 1
by 2
called 1
comprises 1
concert 1
dead 1
deadly 1
describes 1
dissatisfaction 1
each 1
enters 1
entitled 1
eve 1
evidence 1
expressed 1
feels 2
fictional 1
finds 1
first 2
firstperson 1
for 1
from 1
give 1
hall 1
has 1
he 1
her 1
himself 1
his 1
house 1
in 4
interlude 1
is 3
justify 1
kiri 1
labyrinth 1
last 2
letter 2
little 1
maja 1
man 1
meeting 1
mehe 1
midnight 1
mrs 3
nameless 1
narrative 1
new 1
novel 3
obliged 1
of 3
on 1
one 1
part 4
parts 1
people 1
protagonist 2
proua 1
reader 1
reading 1
reply 2
resembling 1
rohumaa 3
rohumaale 1
salons 1
second 1
seitse 1
sent 1
seven 3
sins 1
something 1
staircases 1
stockholm 1
surnud 1
the 14
three 1
to 4
trial 1
tunnistajat 1
which 1
whom 1
with 1
witness 1
witnesses 2
writing 1
written 1
year 1
