4252732
/m/0bsg_h
/m/0bsg_h
Darren Shan
2006-06-05
a 24
about 3
actors 1
after 4
all 1
alley 1
almost 1
alone 1
also 1
an 4
and 37
another 2
any 1
appear 1
are 6
artery 2
as 3
assistant 1
at 1
attacks 1
attract 1
away 2
back 1
backnbsp 1
barrier 4
battle 3
be 3
beelike 1
been 1
before 1
being 1
betrays 1
bille 9
bo 4
book 1
boy 1
boys 1
bring 1
brutallyhe 1
bubble 2
buildings 1
but 9
buy 1
by 6
called 2
can 9
captured 1
cast 1
cause 1
causes 1
cellfor 1
chance 1
changenbsp 1
chased 1
chasing 1
check 1
children 1
chuda 1
closer 1
closes 1
cockroachdemon 1
coincidences 1
come 1
complex 3
conceal 1
contacted 1
crack 1
creates 1
crew 1
cured 1
davida 5
deal 1
death 1
decides 1
demand 1
demon 5
demons 4
dervish 18
did 3
didnt 1
director 1
disappear 1
disliked 1
distract 1
do 1
does 1
done 1
dont 1
dream 2
edge 1
encounter 1
escape 2
even 2
eventually 1
exact 1
explode 1
fact 1
father 2
few 1
field 1
fight 1
fighting 1
film 1
finally 1
find 2
finds 3
for 4
force 1
from 4
future 1
gas 1
get 7
gets 1
giant 1
girl 2
giving 1
gone 1
gregor 4
grubbs 19
grubs 1
had 5
hannibal 1
has 8
have 3
haym 2
he 13
heeds 1
helped 1
her 6
here 1
hid 1
hide 1
him 5
himself 1
his 7
horror 1
house 1
how 1
humans 1
if 3
impossible 1
in 9
injure 1
inside 1
instance 1
into 3
invade 1
invades 1
invisibility 1
invisible 1
is 8
it 7
juni 7
just 1
karin 3
kill 2
killed 2
killing 1
kills 4
kiss 1
knew 2
knowing 1
kooniart 1
lambs 3
later 2
leak 1
learn 1
leave 1
lecter 1
left 1
leg 1
life 1
light 1
literal 1
live 1
lord 11
loss 11
lure 2
lycanthropy 1
made 1
magic 6
magician 1
make 3
managed 1
manages 1
many 2
mean 1
merely 1
most 1
move 1
movie 4
multiple 1
named 3
never 2
new 2
no 1
none 1
not 3
note 1
of 11
off 2
offers 1
on 6
one 4
only 2
open 1
out 4
people 4
place 2
plot 2
possible 1
power 3
powers 3
previously 1
producer 1
promises 1
psychologist 1
pulls 1
real 1
realise 1
realises 1
realize 1
realizes 1
reappears 1
reflection 1
refuse 1
replica 1
rescue 1
return 1
returned 1
revenge 1
room 2
run 4
runs 1
said 1
save 1
saying 2
scans 1
secrets 1
see 2
sees 1
sends 1
set 2
sets 1
she 8
shield 1
sitting 1
slaughters 1
slawter 3
small 1
so 7
soon 4
special 1
spleen 1
still 1
stops 1
story 1
struck 1
subconscious 1
subdue 1
suddenly 2
surrounding 1
surrounds 1
swan 1
switch 2
takes 2
tells 1
that 11
the 39
their 1
them 12
then 9
there 4
they 10
thing 1
thinking 1
thinks 1
this 4
though 1
three 3
through 4
time 1
to 33
too 1
town 4
trapped 1
truth 1
try 4
trying 1
unconscious 1
under 1
unlucky 2
until 1
unwilling 1
up 3
upon 1
use 1
uses 1
using 1
wake 1
wakes 1
want 1
warn 1
warnings 1
was 4
weak 1
went 1
what 2
when 4
which 1
while 3
who 2
whose 1
will 1
window 2
with 7
without 2
work 2
world 3
would 1
year 1
