67317
/m/0hq4m
/m/0hq4m
Richard Adams
1972-11
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 14
alive 1
also 1
although 1
among 1
an 3
and 14
are 2
army 1
arrives 1
as 1
attack 1
band 1
barely 2
beginning 1
behind 1
bigwig 3
bloom 1
bluebell 1
blustery 1
body 1
both 1
bravery 1
brother 1
buck 1
burrow 1
but 1
by 3
can 1
caste 1
chief 1
chilly 1
convince 1
dangerous 1
defeat 1
departs 1
despotic 1
destroyed 1
destruction 1
devise 1
doe 1
does 6
down 8
dozing 1
easily 1
efrafa 4
efrafan 2
elahrairah 2
eluding 1
emissary 2
entire 1
epilogue 1
escapees 1
evacuate 1
eventually 1
fail 1
farm 1
female 1
find 1
finds 1
first 1
fiver 3
folk 1
following 1
for 3
former 1
friends 1
frightening 1
from 2
future 1
general 1
group 6
habitat 1
has 1
hazel 12
he 1
help 1
hero 1
his 6
holly 1
home 2
how 1
however 1
humans 1
hutch 1
hyzenthlay 1
ideal 1
identify 1
imminent 1
in 4
ingenuity 1
invites 1
is 5
join 3
kehaar 1
later 1
leadership 1
learn 1
leave 1
leaving 1
led 1
life 1
locate 1
location 1
loyalty 1
making 1
manage 1
many 2
march 1
member 1
military 1
morning 1
named 2
nearby 2
need 1
new 4
no 1
nolongerneeded 1
nuthanger 1
of 11
on 3
one 1
other 1
out 1
overcrowded 1
own 1
owsla 3
peaceful 1
pipkin 1
place 1
plan 1
police 1
present 1
previously 1
primroses 1
promise 1
rabbit 3
rabbits 9
raid 1
reader 1
realises 1
receives 1
recruit 1
request 1
rescue 2
return 2
returning 1
returns 1
reunited 1
reveal 1
running 1
runt 1
safe 1
sandleford 2
seagull 1
search 1
seer 1
sends 1
set 2
settle 1
silver 1
small 2
soon 2
start 1
state 1
story 1
strongest 1
successfully 1
tells 1
territory 1
that 1
the 28
their 6
them 2
themselves 1
there 2
they 4
through 3
thus 1
to 17
travel 1
travelling 1
true 1
two 1
uncertain 1
unimportant 1
up 1
vision 2
visions 1
visited 1
waiting 1
wants 1
warren 10
was 2
watership 7
were 1
when 2
where 1
which 2
while 1
who 4
with 6
wood 1
woundwort 3
years 1
young 1
