2534663
/m/07ljq4
/m/07ljq4
Judy Blundell

a 5
able 1
acid 2
addressing 1
after 1
all 1
amid 1
an 2
and 13
andra 2
apprehend 1
are 7
arrested 1
arrival 1
associated 1
back 1
battle 1
be 1
been 3
being 1
black 1
but 4
by 4
called 1
captured 1
chase 1
commits 1
company 1
con 1
connected 1
corner 1
corporation 1
crowd 2
dark 2
death 1
deceives 1
dedicated 1
defeated 1
den 5
denetrus 1
despite 1
destroy 1
detected 1
discover 2
distracting 1
does 1
droids 1
environment 2
escape 2
evidence 2
execution 1
finally 1
financial 1
find 1
for 3
forced 1
form 1
gambling 1
getaway 1
go 1
government 1
had 1
has 1
have 3
headed 1
headquarters 1
help 1
him 2
himself 1
his 1
how 2
however 2
images 1
importance 1
in 1
indeed 1
infiltrate 2
informs 1
into 1
is 3
jedi 7
jinn 1
katharsis 2
kenobi 1
lightsaber 1
looking 1
lottery 2
makes 1
man 1
manage 1
massive 1
meantime 1
meanwhile 1
member 1
men 1
mining 2
mishandling 1
mission 1
money 1
more 1
native 1
new 1
not 1
obiwan 4
of 8
offworld 3
on 3
once 1
operations 1
outlawed 1
party 2
people 1
personally 1
place 1
planet 3
played 1
political 2
pools 4
populace 1
power 3
presents 1
preserving 1
prize 1
prove 1
public 1
pursued 1
quigon 4
record 1
recorded 1
resources 2
rigged 2
robbed 1
sacred 2
see 1
sentenced 1
significant 1
site 2
so 1
soon 1
subsidiary 1
suicide 1
surprised 1
surveillance 1
tells 1
telos 4
telosian 1
telosians 3
temple 1
that 6
the 38
their 3
them 1
then 1
they 3
three 1
throwing 1
to 14
tried 1
trust 1
two 3
unify 3
unofficial 1
upon 1
used 1
was 1
were 1
when 1
who 1
wields 1
will 1
willing 1
win 2
with 4
xanatos 10
