2374475
/m/077ds_
/m/077ds_
John Brunner
1969
2014 1
a 11
able 1
africanamerican 1
ambitious 1
america 1
and 5
anyone 1
are 2
asylum 2
at 2
behaviour 1
between 2
breaking 1
bring 1
buy 1
by 2
capable 1
cartel 2
certain 1
characters 1
clay 2
computer 1
conroy 1
conservative 1
contrived 1
counterpart 1
coups 1
critic 1
develops 1
diablo 1
discussion 1
disenchanted 1
driven 1
drugs 1
elias 1
employer 1
enter 1
exploiting 1
flamen 3
following 1
former 1
gottschalks 1
harry 1
has 1
have 1
health 1
his 5
hold 1
in 3
institution 1
interracial 1
into 1
investigative 1
is 6
james 1
job 2
journalist 1
lengthy 1
longtime 1
lyla 2
madison 1
mafialike 1
major 1
makes 1
matters 1
matthew 1
men 1
mental 1
metabolising 1
mogshack 4
narrative 1
new 2
novel 1
obsessive 1
of 5
off 1
old 1
onto 1
particular 1
passed 1
patient 1
pedro 1
plot 1
point 1
predictions 1
prepared 1
psychedelic 1
psychologist 1
pull 1
pythoness 1
reedeth 2
resolve 1
revered 1
sell 1
separate 1
set 1
several 1
she 1
situation 1
some 1
spectacular 1
split 1
spoolpigeon 1
states 1
strands 2
struggling 1
technology 1
tensions 1
the 9
them 1
there 1
this 1
to 8
together 1
trance 1
unconscious 1
underlings 1
united 1
use 1
variety 1
weapons 1
when 1
which 1
who 1
wife 1
with 1
within 1
woman 1
xavier 1
york 1
young 2
