5615674
/m/0dwgj3
/m/0dwgj3
Clive Cussler

1532 1
1578 1
18 1
200 1
a 21
against 1
along 1
an 3
ancient 4
and 10
andes 1
any 1
archaeologist 1
archaeologists 1
are 3
area 1
arrival 1
art 3
artifacts 1
as 4
back 1
battle 1
beautiful 1
becomes 1
been 1
belonged 1
between 1
billion 1
by 3
captured 1
captures 1
caught 1
causes 1
chain 2
chamber 1
clash 1
climax 1
companions 1
crew 1
customs 1
danger 1
darkness 1
deal 1
death 1
demon 1
depths 1
diamonds 1
dirk 1
disappear 1
diving 2
dollars 2
dr 1
drake 2
drowned 1
earthquake 1
england 1
ever 1
execution 1
expedition 1
faithful 1
family 1
fbi 1
filled 1
find 1
finds 2
fleet 1
for 1
forgery 1
francis 1
friends 1
from 2
galleon 2
gigantic 1
gold 2
golden 1
great 1
group 1
guard 1
has 1
he 1
hero 1
hide 1
high 1
himself 1
his 3
hoard 1
huge 1
hundred 1
in 12
inca 2
incan 1
included 1
indians 1
inland 1
intent 1
international 1
into 3
is 4
island 1
it 5
jeopardy 1
jungle 1
kelsey 1
key 2
king 1
large 1
last 1
leaving 1
legendary 1
life 1
lift 1
local 1
lost 2
magnificent 1
man 1
many 1
marine 1
massive 1
masterpiece 1
men 1
middle 1
millions 1
more 2
mystery 1
nearly 1
noholdbarred 1
numa 1
of 17
on 3
one 1
only 2
out 2
peru 1
pharaoh 1
pile 1
pitt 4
placed 1
plunged 1
pool 1
possess 1
previously 1
race 1
real 1
renowned 1
requires 1
river 1
runs 1
rushes 1
sacrificial 1
sailed 1
sails 1
saved 1
scuba 1
sea 1
secret 1
service 1
shannon 1
ships 1
silver 1
sinister 1
sir 1
smugglers 1
smuggling 1
so 1
soon 2
spanish 1
stolen 1
stone 1
struggle 2
subterranean 1
survive 1
survives 1
sweeps 1
syndicate 1
tale 1
technology 1
tell 1
than 2
that 7
the 23
their 1
then 2
there 1
they 3
thieves 1
threatened 1
through 1
tidal 1
time 1
timely 1
to 10
toward 1
treasure 4
tribe 1
turns 1
two 2
uncovering 1
underground 1
underwater 1
unexplored 1
unknown 1
up 1
vast 1
vicious 1
wave 1
well 1
which 1
while 1
who 1
whom 1
wild 1
with 4
wits 1
works 1
world 1
worth 2
would 1
young 1
