1308195
/m/02vk7t0
/m/02vk7t0
Kunal Basu

a 1
about 1
an 1
and 4
argue 1
as 1
assistant 1
bates 3
be 1
begins 1
belavoix 2
believes 2
black 1
boyalone 1
british 1
by 2
can 1
children 1
childrena 1
cranial 1
decide 1
decides 1
each 1
emerge 1
experiment 1
falls 1
french 1
from 1
girl 2
her 1
in 2
into 1
island 2
jeanlouis 1
leader 1
leaving 1
live 1
long 1
love 1
meanwhile 1
measurements 1
murder 1
nicholas 1
norah 2
not 1
nurse 1
of 2
on 1
only 1
other 1
peace 1
problems 1
quartley 1
question 1
races 1
racial 1
raised 1
rescue 1
run 1
samuel 1
scientist 2
scientists 1
settle 1
speaking 1
suffering 1
superiority 1
that 2
the 10
to 4
two 3
ultimately 1
validity 1
when 1
while 1
white 1
will 2
with 1
without 1
