851054
/m/03h37k
/m/03h37k
Roger Zelazny
1982
a 10
across 1
again 1
against 2
allows 1
and 7
apprentice 1
assault 1
attempts 1
banished 1
be 1
became 1
been 1
before 1
being 1
believe 1
black 1
blood 1
body 1
both 1
bound 1
burning 1
but 2
by 1
call 1
citizens 1
comes 1
conquerors 1
cursed 1
dark 1
decades 1
demon 1
descendant 1
desire 1
dilvish 3
elven 2
elves 1
endangered 1
enemy 1
escape 1
family 1
finds 1
first 1
for 4
formerly 1
from 2
girl 1
goes 1
had 1
hath 1
he 6
hell 2
hero 1
him 1
his 5
horse 1
house 2
human 3
humans 1
hundreds 1
ice 1
in 2
into 1
is 4
it 1
its 1
jelerak 4
kill 1
living 1
lost 1
main 1
many 1
metal 1
mixing 1
must 1
nearby 1
need 1
needed 1
of 9
passage 1
peerage 1
people 1
performed 1
plight 1
prominent 1
repulse 1
resided 1
returns 1
revenge 1
ritual 2
sacrificing 1
saved 1
scion 1
searches 1
sent 1
servant 1
shoredan 1
sister 1
sorcerer 2
soul 1
square 1
statue 1
steed 1
stone 1
stop 1
story 1
stricken 1
that 2
the 16
their 1
them 2
then 1
there 1
this 1
to 8
tower 1
town 3
trapped 1
turned 1
two 1
upon 1
when 1
which 1
who 1
with 2
within 1
world 1
years 1
