871902
/m/03kdcn
/m/03kdcn
Eoin Colfer
2001-04
{"/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature"}
100 1
24carat 1
a 19
ability 1
acorn 2
acting 1
adverse 1
after 3
aided 1
alcoholic 1
all 1
allow 2
allowing 2
allows 1
already 1
also 1
an 6
analysis 1
ancient 1
and 18
anticipated 1
are 1
artemis 16
as 3
asks 1
assisted 1
at 2
attempts 1
backfires 1
bed 1
bedroom 1
been 1
behaviour 1
believes 1
bend 1
biological 1
blue 1
bodyguard 1
bomb 1
book 4
bound 1
break 1
briar 1
broken 1
but 2
butler 5
by 7
called 2
camera 1
can 2
captain 1
captured 1
cell 1
centaur 1
chi 1
city 2
claims 1
commander 3
complete 1
completes 1
comrades 1
concrete 1
confirmed 1
consequences 1
containing 1
continue 1
copy 1
cost 1
council 2
cracks 1
crime 1
criminal 1
cudgeon 3
cure 1
decides 3
deciding 1
decodes 1
deep 1
defeats 1
demand 1
demands 1
departs 1
detect 1
determines 1
diggums 1
discover 1
down 2
driven 1
drugging 1
dwarf 1
dwellings 1
earlier 1
earth 1
elements 1
eliminate 1
elsewhere 1
end 2
enter 2
entering 1
enters 1
entry 1
escape 1
escapes 2
existence 1
experts 1
explore 1
eye 1
fails 1
fairies 4
fairy 4
faster 1
feeds 1
finally 2
finds 1
foaly 2
follow 1
for 3
forbidden 1
force 1
four 1
fowl 4
framespersecond 1
freely 1
freezing 1
from 5
full 1
fully 1
gain 1
gnommish 1
gold 5
granted 1
grants 1
grounds 1
had 1
half 1
has 5
having 2
he 5
healer 1
healing 1
her 8
hielding 1
high 1
him 1
himself 1
his 6
ho 1
holly 9
holy 1
house 2
however 2
human 2
husband 1
hypodermic 1
i 1
ii 1
image 1
immune 1
in 8
incapacitates 2
infamous 1
insanity 1
insanitynbsp 1
installed 1
into 2
intruders 1
irish 1
is 11
it 2
julius 2
kills 1
kleptomaniac 1
knowledge 2
last 1
law 1
lay 1
learns 1
leaves 1
lep 5
leprecon 1
lieutenant 1
lifenbsp 1
living 1
locates 1
locations 1
loop 1
lord 1
loss 1
lower 1
mad 1
magic 4
main 1
managed 1
manor 5
mansion 1
meanwhile 2
metric 1
minded 1
minh 1
months 1
moon 1
mother 2
mulch 4
near 1
nearly 1
negotiations 1
nothing 1
oak 1
obtain 1
of 17
one 1
or 1
organic 1
over 1
peoplethe 1
performing 1
permission 1
pills 1
planting 1
police 1
posing 1
possible 1
post 1
powers 1
process 1
promotes 1
ransom 2
rate 1
reach 2
recovered 1
recruit 1
regained 1
release 1
remaining 1
research 1
restoring 1
retrieval 2
revealing 1
reveals 2
rinse 1
ritual 5
river 1
rogue 1
root 4
rule 1
safe 1
scout 1
send 1
sent 2
she 4
short 2
siege 1
significant 1
sleeping 1
smuggled 1
software 1
son 1
source 1
specifics 1
sprite 1
stakeout 1
start 1
stop 1
strips 1
subdue 1
subsequently 1
surface 1
surveillance 1
survived 1
syringe 1
system 1
taking 1
team 2
technically 1
telling 1
temporarily 1
than 1
thanks 1
that 8
the 62
their 1
them 1
there 1
they 1
thinks 1
this 5
threat 1
through 1
time 1
timestop 3
to 24
ton 1
track 1
tracking 1
tracks 1
tranquillises 1
translating 1
travels 1
tree 1
troll 5
truth 1
tunnels 1
twelveyearold 1
under 1
underground 2
until 1
uses 1
using 4
usurping 1
vibrate 1
vietnam 1
when 1
which 1
while 1
wish 2
with 5
without 1
working 1
written 1
