5500123
/m/0dpmx7
/m/0dpmx7
Peter O'Donnell
1965
{"/m/012h24": "Comics", "/m/06wkf": "Spy fiction", "/m/01vnb": "Comic book", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/09kqc": "Humour", "/m/0c3351": "Suspense"}
a 8
about 1
action 2
adventure 1
against 1
agrees 1
all 1
american 1
and 12
are 1
as 3
be 2
became 1
best 1
blaise 1
british 1
but 3
by 1
captured 2
cards 1
causes 1
combat 1
consignment 1
criminal 2
diamond 1
diamonds 1
didnt 1
disbanded 1
do 1
egypt 1
executed 1
for 3
fortunately 1
fothergill 1
france 1
friend 1
gabriel 4
gang 2
garvin 1
gerald 4
get 1
got 1
grateful 1
had 1
has 3
he 4
head 2
heart 1
heist 1
help 1
her 2
himself 1
his 3
huge 1
in 8
incredible 1
intends 1
intervention 1
involved 1
is 5
island 1
it 1
job 1
know 1
knows 1
lays 1
listlessly 1
literally 1
live 1
lose 1
lost 1
man 1
mastermind 1
mediterranean 1
mercenary 1
mission 1
modesty 8
moves 1
mrs 1
needs 1
network 2
now 1
nowhere 1
of 8
on 4
organization 2
out 1
paco 1
payroll 1
perilous 1
position 1
primitive 1
prison 1
pursuit 1
rescued 1
retired 1
revolution 1
righthand 1
rose 1
run 1
secret 1
service 1
services 1
she 1
sir 4
sitting 1
situation 1
six 1
small 1
soon 1
south 2
special 1
start 1
starts 1
steal 1
succeeds 1
table 1
tarrant 1
the 16
then 2
there 1
this 1
to 12
top 1
turns 1
unarmed 1
vanquish 1
very 3
visits 1
waiting 1
was 2
wasnt 1
what 1
where 3
who 2
will 1
willie 8
with 1
worked 1
world 1
years 1
