25443579
/m/09k5wn3
/m/09k5wn3
Edgar Rice Burroughs
1921
{"/m/05hgj": "Novel"}
a 11
accountants 1
acquaintance 1
ad 1
advertises 1
allaround 1
also 2
an 5
and 16
apply 1
around 1
as 3
asks 1
assist 1
assistant 1
assists 1
at 1
athlete 1
attempts 1
bad 1
beginning 1
begins 1
big 1
bince 3
boxer 2
business 1
but 1
campus 1
case 1
chance 1
chancing 1
cheers 1
chicago 1
clerk 1
climax 1
come 2
comes 1
commits 1
committed 1
compton 2
could 1
debtsnbspndash 1
deliver 1
department 1
despairs 1
desperation 1
determines 1
does 1
due 1
during 1
eagerly 1
edith 2
efficiency 1
effort 2
elizabeth 8
embezzler 1
encourages 1
engage 1
eva 2
expert 1
exposed 1
factory 4
family 1
father 3
fianc 1
figures 1
finally 2
find 1
finding 1
fired 1
firm 1
first 1
football 1
for 3
framed 1
fraudulent 1
friend 1
friendship 2
from 1
gains 1
gambling 1
get 4
gold 1
graduates 1
granted 1
harold 1
harriet 1
has 2
have 1
he 9
heart 1
help 1
her 1
herself 1
him 6
himself 4
his 4
holden 1
hosiery 1
however 1
immediately 1
improve 1
in 7
including 1
indeed 1
is 9
jimmy 1
job 1
jobs 1
kicked 1
known 1
ladies 1
lady 1
large 1
leading 1
letters 1
little 2
lizard 3
loses 1
losing 1
make 1
makes 1
man 1
manager 1
managernbspndash 1
many 1
marry 1
meet 1
milkman 1
money 1
most 1
mr 1
murder 1
murdered 1
named 1
nearly 1
news 1
not 2
nothing 1
number 1
occupations 1
of 13
off 1
offer 1
on 1
one 2
out 2
outside 1
over 1
persuaded 1
pickpocket 1
player 1
pleading 1
prostitute 1
prove 1
proves 1
quality 1
question 1
rapid 1
reapplies 1
recommendation 1
repairs 1
rid 1
runs 1
sadder 1
second 1
sees 1
simultaneously 1
socialite 1
someone 1
something 1
spurning 1
stand 1
stealing 1
stint 1
store 1
succeeds 1
successfully 1
succession 1
suicide 1
suspect 1
take 1
takes 1
that 3
the 16
these 1
things 2
to 19
torrance 10
tries 2
truth 1
turn 1
university 1
up 2
upon 1
violent 1
waiter 2
wanting 1
when 1
where 1
which 2
while 1
who 2
wins 1
wiser 1
with 2
work 4
worried 1
writing 1
young 1
