1463682
/m/053kn2
/m/053kn2
Banana Yoshimoto
1988
{"/m/02xlf": "Fiction"}
a 8
about 1
accident 1
also 1
amongst 1
an 1
and 6
as 1
assistant 1
away 1
back 1
background 1
becomes 1
boyfriend 1
bring 1
brother 1
called 1
cauterise 1
close 1
collective 1
couldnt 1
crash 1
culinary 1
death 1
died 2
discoveries 1
ends 1
eriko 1
experience 1
festival 1
flower 1
food 2
friendly 1
friends 1
from 2
girlfriend 1
gradually 1
grandmother 2
grief 1
grows 1
has 1
he 1
her 6
hiiragi 1
him 1
his 2
hitoshi 1
hopes 1
i 1
in 5
insomniac 1
into 1
introduces 1
is 2
it 1
japanese 2
job 1
kitchen 2
kitchens 1
life 1
loses 1
lost 1
love 2
meets 1
merely 1
mikage 2
moonlight 1
mother 1
multiple 1
my 1
mystical 1
named 2
night 2
of 6
on 1
one 2
other 1
out 1
overcome 1
phenomenon 1
place 1
present 1
sakurai 1
same 1
satsuki 1
scenes 1
shadow 1
she 4
shop 1
short 1
some 1
someone 1
soul 1
staying 1
strange 1
struggles 1
teacher 1
tells 1
the 7
their 1
to 6
tragedy 1
transgender 1
up 1
urara 2
us 1
walking 1
weaver 1
went 1
which 2
who 1
whose 1
will 1
window 1
with 2
woman 4
young 2
yuichi 1
