2082522
/m/06kzr6
/m/06kzr6
Larry McMurtry
1993
1year 1
a 42
able 1
about 3
accompanied 1
accompany 1
accuses 1
across 1
admitted 1
adopt 1
after 2
ago 1
albeit 1
alive 2
all 1
allen 1
almost 2
alone 1
ambushes 1
american 1
amputate 1
an 2
and 48
angry 1
anticipated 1
anyone 1
apache 2
apprehending 1
are 3
as 5
assists 1
at 5
attached 2
attachment 1
attempts 2
aura 1
away 1
back 4
bandit 3
bandits 2
be 1
bean 1
beating 1
become 2
becomes 1
been 4
before 1
being 2
besides 1
between 2
birth 1
bit 1
bitch 1
bitter 1
blind 2
blue 2
book 3
books 1
border 1
borderland 1
bordertown 1
boss 1
bossy 1
bounty 1
bountyhunter 1
boy 2
brief 1
brookshire 7
burn 1
burning 1
burnt 1
business 1
but 5
by 9
call 22
came 2
capable 1
captain 5
captive 1
captives 1
cattle 1
celebrated 1
cherokee 1
children 8
civilization 1
clara 3
close 2
collapsed 1
colonel 1
confrontation 1
continue 1
continues 1
contract 1
corporal 1
corrupt 1
cost 1
creek 2
criminals 1
crippled 1
crow 3
cut 1
dangerous 2
daughter 2
dead 4
deadly 2
deal 1
decided 1
decides 1
deep 1
demonstrating 1
denizens 1
desert 1
devoted 1
devotion 1
die 1
dies 1
different 1
disappears 1
discover 1
distance 1
do 1
does 2
dominates 1
dove 2
drags 1
duck 2
duties 1
earned 1
eating 1
emphasis 1
enables 1
encounters 1
equally 2
escapes 1
especially 1
events 1
expanded 1
experience 1
eye 11
f 2
failed 1
fame 1
families 1
family 4
famous 5
farm 2
fear 1
fearing 1
fellow 1
figure 1
finally 1
find 2
fine 1
first 1
five 1
flunky 1
focal 1
following 1
foot 1
for 10
former 3
formerranger 1
forty 1
frees 1
friend 1
from 7
frontier 2
furious 1
gang 3
gangs 1
garza 7
generally 1
german 2
ghost 1
goes 1
gone 1
grande 1
great 1
greatest 1
greatly 2
guilt 1
gunfighter 1
gunforhire 1
gus 3
had 3
half 1
halfmile 1
hand 1
hang 1
hangs 1
happened 1
hardin 1
has 16
hat 2
hatred 1
have 6
he 16
head 1
hears 1
hearts 1
hell 1
her 11
heroine 1
herself 1
hiding 2
him 8
himself 4
his 20
homesick 1
horse 5
hostile 1
hunt 1
hunter 1
husband 1
husbands 1
imposing 1
in 19
increasingly 2
indians 2
inexperienced 1
initially 1
innumerable 1
instead 1
into 3
is 25
it 1
jail 2
jimmy 1
joey 17
john 1
johnson 1
judge 1
july 1
just 3
katie 1
kickapoo 2
kill 1
killed 3
killing 3
kind 1
known 1
langtry 1
laredo 1
late 1
law 2
leads 1
learned 1
leaves 1
left 1
leg 1
legendary 1
let 1
lifting 1
limps 1
live 1
lives 2
local 1
lonesome 2
long 1
longer 2
lorena 5
lorie 4
lover 1
loving 1
loyalty 1
man 3
many 1
maria 9
marriages 1
married 2
mccrae 3
mcmurtry 1
mexican 3
midwife 1
mile 1
money 1
montana 1
more 1
mortally 1
mother 4
mox 12
murderous 1
murders 1
must 1
named 1
native 1
nearby 1
nearkilling 1
nearly 1
nebraska 1
ned 2
new 1
news 1
newt 2
no 2
not 5
notes 1
notorious 1
novel 1
now 4
obsessed 1
of 43
off 2
old 3
oldest 1
on 8
one 5
only 2
onset 1
opens 1
or 4
order 1
other 4
out 4
outfit 2
outlaw 2
outright 1
own 1
panhandle 1
parker 2
particularly 1
partner 1
past 1
pea 11
pecos 1
picture 1
plight 1
plot 1
point 1
possesses 1
presidio 1
pressured 1
prevails 1
preying 1
process 1
protecting 1
protection 1
proves 1
pursue 1
pursuit 3
pushed 1
question 1
quick 1
quite 1
rafael 2
railroad 2
ranch 1
ranger 2
rather 1
reach 1
reciprocate 1
refuses 1
relic 1
renegade 1
reputation 3
request 1
rescuing 1
reserved 1
respect 1
respectdemanding 1
respected 2
return 1
returned 1
rides 1
rifle 2
rio 1
robberies 1
rough 1
roy 1
rustlers 1
salaried 1
save 1
school 1
schoolhouse 1
scuffle 1
sea 1
search 1
second 1
see 1
seems 1
sends 1
sent 1
seriously 1
services 1
set 1
sets 2
settlers 1
several 2
she 3
sheriff 3
shoes 5
shoot 1
shoots 2
shot 1
siblings 1
sight 1
significant 1
silent 1
skirmishes 1
slave 1
slow 1
small 2
snake 1
sold 1
son 1
soon 3
south 1
speaks 1
spent 1
stabs 1
stealing 2
stirrups 1
stolen 1
stop 2
strange 1
streets 1
strike 1
strikes 1
string 2
such 1
surprised 1
surviving 1
talkative 1
teacher 1
teaches 1
telescopic 1
teresa 3
terry 2
texas 4
that 9
the 69
their 2
them 4
then 3
they 4
thief 1
third 1
thoroughly 1
those 1
though 3
thought 1
threat 1
three 2
through 1
thrown 2
time 2
title 1
to 40
town 3
tracker 1
trail 1
train 2
trains 1
traumatic 1
travel 1
travels 1
trouble 1
tumble 1
two 6
tycoon 1
unaware 1
unknown 1
unscathed 1
up 1
usually 1
very 4
victims 1
village 3
villager 1
villain 1
violence 1
warn 2
was 8
ways 1
wesley 1
west 4
when 2
where 1
which 2
while 2
who 7
whom 1
whore 1
wife 2
wild 1
wins 1
with 8
wood 1
woodrow 2
wounded 2
wounds 1
years 3
yet 1
york 1
you 1
young 1
younger 1
