10170289
/m/02q429s
/m/02q429s
John Flanagan
2006-05-01
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
20 1
a 15
about 1
accept 1
across 1
addiction 1
after 3
against 1
ago 1
agrees 1
aid 1
all 1
along 1
also 3
alyss 1
ambush 2
an 2
and 31
anything 1
archers 5
are 4
army 6
arrow 1
arrows 1
as 8
at 2
attack 1
awkward 1
back 5
bad 1
banished 1
battle 2
be 2
became 1
because 5
become 3
becomes 1
been 3
before 1
begins 1
behaving 1
being 2
blocked 1
board 1
book 2
books 1
breaking 1
but 4
by 4
came 3
captured 2
cassandra 1
chance 1
checking 1
clams 1
close 1
clumsiness 1
colonel 1
combat 1
concealed 1
conclusion 1
conquered 1
continue 1
continues 1
convince 1
convinced 1
could 1
dead 1
decades 1
decision 1
defeated 1
defeating 1
deparnieux 1
did 1
dish 1
down 3
dozen 1
driven 1
duncan 1
end 2
erak 7
escape 1
evanlyn 7
evil 1
exit 1
expected 1
fake 1
false 1
fame 1
fighting 1
finally 1
find 3
firing 1
first 1
followed 2
food 2
for 2
forced 1
fought 1
free 1
freedom 1
friendship 1
from 2
fullfledged 1
further 1
gallica 3
gate 2
gave 1
general 2
get 2
getting 1
give 1
glad 1
greatly 1
group 3
guards 1
had 10
halt 15
happy 1
has 2
hastily 1
have 5
he 2
heard 1
heart 1
her 1
high 1
him 3
his 9
home 1
homeland 2
horace 5
horses 1
hostage 1
however 1
icebound 1
impact 1
in 9
include 1
instantly 1
into 2
invasion 1
is 5
it 2
jarl 2
keep 1
kept 1
king 2
knighthood 1
knights 1
knowing 1
land 1
later 1
lay 1
left 1
let 1
list 1
listen 1
little 1
lived 1
long 1
longrange 1
lost 1
made 3
main 1
manage 2
manages 2
managing 1
many 1
meanwhile 2
mission 1
moment 1
narrow 1
near 1
nearly 1
no 1
nobles 1
not 2
now 2
oberjarl 2
of 14
off 1
offer 1
offered 1
on 4
one 2
oneonone 1
only 2
opposing 1
other 1
out 2
outnumbered 1
overcome 1
pardon 1
people 1
placed 1
plans 1
politics 1
position 2
previous 1
princess 1
probably 1
purposelly 1
ragnak 2
raid 1
ranger 1
rangers 1
ready 1
reasons 1
recognise 1
regains 1
release 1
reluctanctly 1
reputation 1
rescue 1
retreat 2
reunion 1
reunited 1
revealed 1
reward 1
rewarded 1
ridding 1
royal 2
sad 1
said 1
save 1
saves 1
scouts 1
senior 1
senses 1
set 1
she 1
ship 1
shot 3
skandia 1
skandian 1
skandians 11
slaves 2
sold 1
soon 1
spotted 1
stay 1
still 1
stopped 1
story 1
strategic 1
strategist 1
style 1
supplies 1
supposed 1
surprised 1
taken 1
takes 1
temujai 10
that 5
the 53
their 12
them 1
then 2
they 5
theyve 1
this 2
thus 1
time 1
to 32
too 1
track 2
training 1
trains 1
traps 1
travelled 1
treaty 1
try 1
trying 3
turns 1
two 1
union 1
up 1
versus 1
very 3
wagons 1
wants 1
warlord 1
warmweed 1
warriors 1
was 4
well 1
went 1
were 5
what 1
when 1
where 1
which 5
while 1
who 4
will 14
with 9
won 1
world 1
worried 1
would 1
