1858142
/m/061lw1
/m/061lw1
James Follett

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
2 2
30 1
a 37
abandon 1
abandoned 3
abduction 1
abilities 1
about 2
access 1
accidentally 1
accidents 1
achieve 1
acting 1
actions 1
admits 1
adults 2
adventures 1
against 1
aged 1
aggression 1
ago 1
agree 1
agricultural 1
aim 1
aimed 1
all 3
allow 1
almost 1
already 3
also 1
although 1
always 1
an 12
ancestral 1
and 71
android 7
androids 4
angel 2
angellike 1
angels 22
animals 2
animation 1
anomalous 1
aperture 1
apparent 1
apparently 2
appearance 1
appearances 1
appears 3
are 8
argumentative 1
ark 1
arriving 1
artefact 1
artificial 4
as 15
assault 2
assist 1
assistance 2
assisted 1
astra 5
at 7
attaching 1
attack 1
attacked 1
attacks 5
attempt 4
attempts 3
attracts 1
authority 1
available 1
awake 1
back 1
basic 1
battering 1
bay 1
be 5
been 6
began 1
begins 3
begun 1
being 2
benevolence 1
best 1
between 1
black 4
board 1
both 5
brainless 1
brains 1
bran 3
breeding 1
bring 1
bringing 1
brutal 1
budge 1
bungled 1
but 7
by 24
called 3
can 2
cannot 1
capacity 1
caps 1
cargo 1
catastrophic 1
cause 1
causes 1
centuries 1
challenge 1
challenger 18
challengers 4
chief 1
child 1
children 4
chosen 2
citizens 1
civilisation 3
close 1
closeaccurate 1
coincidentally 1
collapsed 1
collapsing 1
colonists 3
colony 4
colossal 1
come 1
command 1
commander 1
communicated 1
computer 2
computers 3
concession 1
conditions 1
consciousness 2
construct 1
constructed 1
contact 1
contains 2
continue 1
continues 2
continuing 1
control 13
cooling 1
cope 1
cost 1
could 1
couples 1
create 1
crew 20
crewmembers 1
culture 1
d 3
damaged 2
damages 1
damaging 1
darv 9
dead 1
deal 2
debris 1
deceptive 1
decide 1
deems 1
defences 1
defended 2
degrees 1
delusions 1
demanding 1
demonstrates 1
departed 1
designed 1
despite 2
destroy 3
destroyed 1
destroying 3
deterioration 1
developed 1
dictates 1
differences 1
different 1
difficult 1
directive 1
discover 8
discovers 1
dish 2
do 3
does 1
dominates 1
dominating 1
door 7
down 2
drastic 1
drastically 1
drinking 1
during 2
eagerly 1
earth 13
earthlike 1
earthoriginated 1
earthsearch 4
earthvoice 9
effectively 1
eighteen 1
eightmile 1
either 1
eking 1
elements 1
elka 4
embrace 1
en 1
encounters 1
end 1
engineer 1
engineering 1
enormous 1
enter 2
enthusiastic 1
entire 2
environmental 1
equator 1
equipment 1
erasing 1
escape 2
even 2
eventually 1
every 1
examine 1
example 1
expand 1
explains 1
exterminates 1
extinct 1
facilities 1
fact 3
fails 1
fall 1
fallen 1
farm 1
feign 1
few 1
field 1
fiftymile 1
final 1
finally 1
find 1
finding 1
firmly 1
fit 1
floating 1
flood 1
flooding 1
flourish 1
fly 3
following 2
for 7
forcing 2
former 1
forms 1
four 2
freefloating 1
freely 1
frees 1
friendly 2
from 8
full 1
further 3
gain 1
galleries 1
gassed 1
generalpurpose 1
george 1
get 1
gigantic 1
go 1
going 1
grade 1
gravitational 1
gravity 2
great 1
grip 1
grows 1
guardian 1
had 4
hampered 1
hardships 1
harsh 1
has 9
have 20
having 1
he 8
head 1
heat 1
heaters 1
heating 1
held 1
helpless 1
her 3
higher 1
him 1
himself 1
his 7
hitting 1
hold 1
hole 4
home 4
homeplanet 1
homeworld 1
horror 1
hostile 2
how 3
however 4
huge 1
human 5
humans 9
ice 1
immediately 1
impossible 1
in 21
included 1
including 2
inexperienced 1
influence 1
information 1
ingeniously 1
insecure 1
instead 1
instructions 1
integrated 1
intelligence 2
intended 1
interest 1
interfere 1
interposed 1
into 8
investigate 1
is 24
it 14
its 6
journey 1
kidnap 2
kidnaps 1
kill 1
killed 2
kinds 1
knowledge 5
kraken 6
land 1
landed 1
last 2
later 1
launches 1
leader 1
leaving 1
left 1
legacy 1
level 1
library 3
life 4
lifestyle 1
like 1
little 1
lives 1
living 1
loading 1
locates 1
location 1
lock 4
long 3
longer 1
longrange 1
look 1
loses 1
loss 1
lost 1
low 1
machine 1
made 1
make 3
making 1
manage 1
manipulative 1
many 2
material 1
may 1
meagre 1
meet 1
megalomaniacal 2
melt 1
memory 1
merely 1
mild 1
mission 2
monster 2
more 1
move 1
moved 1
moving 1
much 1
murderous 1
mysterious 1
name 1
nearby 1
nearinvincible 1
new 5
next 1
nineteen 1
no 3
normally 1
not 8
notice 1
noticing 1
nova 1
novita 3
now 10
obeying 1
obtain 1
of 57
old 1
on 16
once 1
one 3
only 4
open 2
opened 1
operated 1
opinion 1
or 3
orbit 3
order 1
organic 2
organising 1
original 2
other 1
out 7
outside 1
over 5
overridden 1
overseen 1
pairs 1
parabolic 1
paradise 8
parents 1
part 2
pattern 1
peeron 3
people 5
period 1
place 1
placed 1
placing 1
plain 1
planet 3
planetary 3
plans 1
platform 1
point 1
polar 1
potentially 1
power 2
predecessors 1
presenting 1
presided 2
previous 1
primitive 1
principles 1
problems 2
programming 1
prompted 1
prompting 1
proving 1
pulled 1
questions 1
quite 1
race 1
rain 2
raise 1
raises 1
rams 1
range 1
rather 1
raw 1
reaches 1
realised 1
reasoning 1
rebuild 1
recordings 1
recruit 1
reduced 2
reestablishes 1
refitted 1
refrigeration 1
refuses 1
regain 3
regains 1
rejected 1
rejoin 1
release 1
released 1
remaining 1
removal 1
repaired 1
replace 1
repository 1
require 1
requires 1
resembles 1
resort 1
resources 1
responding 1
resulting 1
return 1
returned 1
returning 2
reveal 1
revealed 1
reversal 1
reverses 1
risk 1
room 7
round 1
route 1
run 1
runs 1
ruthless 1
sabotage 1
safety 1
said 1
same 2
