2985767
/m/08htph
/m/08htph
John Birmingham
2005
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
141 1
142 1
15 1
2021 1
21st 5
a 18
across 2
administrative 1
afghan 1
african 1
afrika 1
after 3
against 1
airborne 1
aircraft 1
airfield 1
all 1
allied 2
allies 2
along 1
also 1
although 1
american 1
amongst 1
an 2
and 27
any 2
anywhere 1
apply 1
are 10
areas 2
armies 1
armor 1
arrest 1
as 6
assassinate 1
assault 1
at 2
atomic 1
attempt 3
australia 3
axis 1
baathist 1
battling 1
be 1
becomes 1
been 3
before 2
begun 1
being 1
between 1
biggin 2
blitzkrieg 1
bloody 1
bomb 1
bombings 1
borders 1
both 2
brasch 2
brisbane 1
britain 2
british 1
but 7
by 8
california 1
canary 1
carved 1
causes 1
ceasefire 1
center 1
century 4
chains 1
channel 2
chaos 1
churchill 1
city 1
civilians 1
clamoring 1
clinton 1
colonel 1
command 1
commando 1
commandos 1
commences 1
communism 1
conquered 1
contemporary 1
control 1
convoy 1
cooperating 1
coverage 1
crash 1
crew 1
crewed 1
crippled 1
cruise 1
cruiser 1
crushed 1
damage 1
day 2
decade 1
defense 1
defenses 1
demidenko 1
despite 1
dessaix 2
destroyed 1
detonate 1
dictators 1
disabled 1
disposal 1
diversion 1
divert 1
does 2
dragon 2
drone 1
droves 1
duel 1
easily 1
east 1
effect 1
effort 1
either 1
eligible 1
else 1
elsewhere 1
enclave 1
england 2
english 1
enough 1
ensures 1
entire 2
equip 1
escapes 1
executed 1
expend 1
facility 1
females 1
fernando 1
few 1
field 1
fight 1
fighting 1
foment 1
for 5
force 3
forces 5
foreknowledge 1
formations 1
found 1
four 2
french 2
from 4
front 1
general 1
german 3
germaninstigated 1
germans 2
germany 1
global 1
granted 1
group 1
guinea 1
gulf 1
harmlessly 1
has 5
have 4
hawaii 1
hawaiian 1
heavy 2
heroes 1
hill 2
hillary 1
his 1
history 1
hit 1
hitler 2
hms 2
hold 1
homma 1
honolulu 1
hundreds 1
ice 1
identified 1
imagined 1
impounded 1
in 16
india 1
information 2
initial 1
insurgents 1
interrogation 1
into 2
invade 1
invaluable 1
invasion 1
is 5
island 1
islands 4
isolated 1
it 4
its 2
january 1
japanese 7
join 1
june 1
key 1
killed 1
korps 1
la 1
launched 1
laws 1
lay 1
lead 1
leading 1
led 1
leyte 1
lies 1
limited 1
line 1
lose 1
losses 1
lost 1
machine 1
major 1
make 1
manages 1
many 1
marshal 1
massacre 1
massive 1
materialized 1
maximum 1
may 1
meanwhile 1
melee 1
member 1
members 1
message 1
middle 1
military 2
minister 1
missiles 2
mission 1
month 1
months 1
more 2
most 2
much 1
multinational 4
mutiny 1
nations 1
navy 1
nearby 1
nearly 1
new 2
newlybuilt 1
next 2
nonwhites 1
north 2
northern 1
norway 1
not 2
nothing 2
now 2
nuclear 1
oahu 2
obliterates 1
of 25
off 3
on 4
one 2
operation 2
or 1
other 1
otto 1
our 1
out 1
outrage 1
over 2
own 1
pacific 1
pack 1
particularly 1
party 1
passes 1
paul 1
personnel 1
physically 1
place 2
placed 1
plant 1
population 1
position 1
possible 1
pq17 1
preparations 1
prepares 1
presumed 1
primary 1
prime 1
prisoners 1
problems 1
program 2
prompting 1
providing 1
purged 1
quickly 1
race 1
raf 1
raid 1
ranks 2
reach 1
real 2
reestablished 1
reinforced 1
reluctance 1
research 2
resources 1
result 1
retake 1
retaking 1
retreat 1
revealed 1
reveals 3
revolt 1
riots 1
rocketry 1
rommel 1
sabotage 2
san 1
sanction 1
sas 1
sea 3
see 1
seizing 1
send 1
september 1
series 1
several 1
shifts 1
ship 3
ships 2
siberian 1
signed 1
siranui 1
skies 1
skorzeny 2
slaughter 1
slaughtering 1
soldiers 1
son 1
south 1
soviet 1
soviets 1
sparks 1
spearheads 1
special 1
ss 1
stalin 4
states 2
stating 1
stealth 1
supercarrier 1
survivors 2
suspected 1
sustained 1
t4 1
take 3
taken 1
target 1
targeting 1
targets 1
technological 1
technology 1
telemark 1
than 2
thanks 1
that 9
the 71
their 5
them 1
there 1
they 1
third 1
though 1
thousands 1
three 1
throws 1
thwarted 1
time 1
to 17
towns 1
train 1
traitors 1
transition 3
trident 1
triumph 1
troops 1
true 1
two 1
ukraine 1
unbeknownst 1
under 3
underway 1
union 1
united 2
units 1
unleashed 1
unravels 1
upgraded 1
us 1
useless 1
valley 1
valuable 1
vanguard 1
various 2
very 1
wahabi 1
war 1
warhead 1
warships 1
was 2
washington 1
waste 1
water 1
waters 1
weapon 1
weaponry 1
weeks 1
wehrmacht 1
what 1
wholesale 1
whose 1
will 3
windsor 1
with 7
within 2
without 1
work 1
yamamoto 1
zone 2
