2118195
/m/06nckz
/m/06nckz
Stephen Baxter
1996-11-21
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
10 2
11 1
12 1
13 1
14 1
15 1
16 1
163 1
170s 1
186 1
20 1
22 1
27 1
a 25
actual 1
administration 1
aerospace 1
aftermath 2
against 3
air 1
all 1
also 2
alternate 1
although 2
an 1
and 27
another 1
apollo 8
apollon 1
apollosoyuz 1
apparently 1
are 1
ares 1
armstrong 1
around 1
as 11
assassination 1
assembly 1
assistance 1
astronaut 3
astronauts 4
at 2
atop 1
aviation 1
b 3
backs 1
based 2
battery 1
be 2
become 3
before 1
beginning 1
ben 2
between 1
black 1
block 2
bombing 1
book 2
boosters 1
both 1
but 6
by 5
call 2
called 2
cambodia 1
can 2
canceled 1
cancelled 1
carry 1
catastrophically 1
cells 1
center 2
centers 1
challenges 1
chosen 1
chronicalized 1
chronicled 1
chronicling 1
collapses 1
columbia 1
commandservice 2
committing 1
components 1
conlig 1
construction 1
containment 1
contractor 1
contractors 1
corrosion 1
crew 1
crewed 1
crippled 1
csm 1
damages 1
decide 1
deciding 1
decision 1
degree 1
design 2
despite 1
development 2
did 1
different 1
disaster 1
divergence 1
done 1
double 1
drawn 1
dream 1
dubbed 1
duration 1
during 3
earth 1
effect 1
efforts 1
engineer 1
engineering 1
engineers 1
entire 1
excursion 1
experimental 1
experiments 1
external 1
extra 1
f 1
facilitate 1
fails 1
far 1
fateful 1
fellow 1
female 1
fighterbomber 1
finally 3
finish 1
fired 1
firm 1
first 2
flashbacks 1
flown 1
flyby 2
followed 1
for 4
force 1
former 2
from 4
fuel 2
funding 2
future 2
geologist 1
gershon 1
go 1
goal 1
gravitational 1
habitat 1
had 1
happens 1
hardware 1
has 2
have 1
he 1
help 1
helping 1
her 1
hierarchy 1
his 1
historic 1
history 1
hold 1
hostile 1
however 1
humans 1
ib 1
iii 1
illegal 1
improvements 2
in 22
incapacitated 1
include 2
including 5
instead 3
involved 2
is 17
it 1
its 3
itself 1
iv 1
jacqueline 2
joe 1
john 1
johnson 1
joined 1
july 1
kennedy 5
killed 2
knowledge 1
lander 1
landing 3
landings 1
lands 1
larger 2
last 1
latter 1
launched 3
launches 1
lead 1
leftover 1
less 1
lives 1
long 1
longterm 1
lunar 3
lyndon 1
making 1
man 1
management 1
mangala 1
manned 7
march 1
mariner 2
mars 14
marsship 1
might 1
mike 1
mission 12
missions 2
modular 1
module 4
moon 3
moonlab 2
most 1
muldoon 1
n1 1
named 1
nasa 4
natalie 1
nearly 1
neil 1
nerva 4
nevada 1
new 2
nixon 2
november 1
nuclear 1
number 2
numerous 1
of 27
on 11
once 1
one 1
onorbit 1
opinion 1
orbit 2
orbital 1
orbiter 1
order 1
original 1
oscillations 1
other 1
our 2
out 1
painstakingly 1
part 1
payload 1
performing 1
personnel 1
phil 1
phone 1
pilot 1
pilotturnedastronaut 1
pioneer 1
pioneers 1
place 1
plagued 1
plan 1
planned 1
pogo 1
point 1
poisoning 1
political 1
power 2
preparations 2
prepare 1
president 1
priest 2
probes 1
problems 1
produced 1
program 6
programs 1
project 2
propulsion 1
public 1
quest 1
radiation 1
ralph 1
reagan 1
reality 2
reasons 1
redirected 1
relationships 1
reliable 1
reminiscent 1
renaming 1
resistance 1
result 1
returning 1
reusability 1
revived 1
risks 1
rival 1
rocket 2
safely 1
salt 1
salyut 1
same 1
saturn 5
scientific 1
seemingly 1
send 1
sent 1
series 1
shifts 1
shuttle 1
sic 1
side 1
sivb 2
skylab 6
skylabmoonlab 1
slashing 1
small 1
so 2
solar 1
solid 1
soviets 1
soyuz 1
space 9
spacecraft 2
spaceflight 1
stage 3
states 1
station 3
stations 1
stay 1
still 3
stone 1
stormy 1
story 1
struggles 1
suffers 2
surface 1
survived 1
sworn 1
system 1
systems 1
tanks 1
technical 1
tells 1
test 3
tests 1
than 1
that 3
the 71
their 3
these 1
this 4
throughout 1
thus 1
time 1
timeline 4
to 19
towards 1
united 1
unmanned 1
unnecessary 1
unofficially 1
until 1
up 1
upgraded 1
upper 2
use 2
using 2
utilizing 1
v 3
valles 1
vb 1
venus 3
veteran 1
vietnam 1
viking 1
visits 1
voyager 1
walk 2
war 1
was 2
water 1
well 1
wet 2
wetworkshop 1
where 1
which 4
who 1
whose 1
with 3
within 1
without 1
work 1
working 2
workshop 2
york 1
