12001922
/m/02vlk3p
/m/02vlk3p
James Moloney
1996
8yearold 1
a 3
about 2
accident 2
already 1
an 2
and 5
another 1
anxiety 1
are 1
as 1
at 3
aunt 2
barge 1
beach 2
because 1
beryl 2
boyfriend 1
brother 3
bruce 1
bus 1
care 1
carl 7
centrelink 1
chance 1
children 1
claimed 1
colleague 1
come 1
constantly 1
convey 1
country 1
course 1
cove 1
died 1
disappears 1
discovered 1
does 2
duncan 1
duncans 1
during 2
else 1
end 1
family 1
feelings 1
feels 1
find 1
flew 1
get 2
graham 1
grandfather 2
harley 3
has 3
he 4
her 3
him 2
his 9
home 2
however 1
in 6
initially 1
invites 1
involved 1
is 4
it 1
join 1
joy 1
kerry 2
killed 1
know 1
learns 1
left 1
life 1
live 2
matt 2
missing 1
mother 2
nor 1
not 2
novel 1
nowhere 1
of 2
off 1
old 1
once 1
open 1
over 1
own 1
rebellious 1
returns 1
run 1
sarah 2
sent 1
share 1
she 1
sister 1
skips 1
son 1
spirit 1
stay 2
surrogate 1
that 5
the 5
their 2
them 2
this 1
those 1
to 11
true 1
trying 1
unearthedcarl 1
up 1
was 2
wattle 2
when 2
who 3
wiseman 1
with 4
withdrawn 1
works 1
worries 1
younger 1
