1194919
/m/04gb4s
/m/04gb4s
Charlotte Brontë
1857
{"/m/014dfn": "Speculative fiction"}
a 18
about 1
accepts 1
accidentally 1
actions 1
address 1
after 1
all 1
allboys 1
allgirls 1
amiable 1
an 3
and 14
around 1
as 9
at 4
attention 1
back 1
be 1
become 1
begins 3
belgium 1
beloved 1
benevolent 1
boarding 1
book 1
brother 1
bumping 1
by 4
captivated 1
career 1
casually 1
cause 1
character 1
charles 1
child 1
civility 1
clergyman 1
clerk 1
cold 1
college 1
concerned 1
conflict 1
continues 1
countryside 1
crimsworth 2
crushed 1
describes 1
detailing 1
dismiss 1
draw 1
ears 1
education 1
edward 3
england 1
english 1
entertain 1
establishment 1
eventual 1
eventually 2
exceedingly 1
eyes 1
fall 1
falling 1
family 1
far 1
fell 1
financial 1
finding 1
first 1
firstperson 1
frances 3
francis 1
friend 1
friendly 1
from 4
gains 1
gets 1
girls 1
goes 1
graveyard 1
has 1
have 2
he 4
headmistress 1
heartbroken 1
her 10
herself 3
hide 1
high 1
him 4
his 12
hopes 2
however 2
hunsden 2
ideas 1
improve 1
in 11
initially 1
intelligence 2
into 1
is 8
it 3
jealous 2
job 1
kindly 1
languages 1
leaves 1
letter 1
love 3
loves 1
m 3
make 1
man 1
marriage 1
maturation 1
meeting 1
merits 1
mlle 6
moves 1
mr 2
narrative 1
nature 1
neighboring 1
new 2
next 1
not 1
now 1
obtaining 1
of 12
off 1
offered 1
offers 1
one 1
only 1
open 1
out 1
overhears 1
pelet 3
perspective 1
plead 1
politely 1
position 4
pretending 1
professor 3
promising 1
proposals 1
pupil 2
reach 1
receiving 1
reconcile 1
refusal 1
relieved 1
reuter 6
revealed 1
rich 1
run 1
school 7
security 1
see 1
seeking 1
sees 1
sent 1
settle 1
she 2
skill 1
slightly 1
slowly 1
so 1
soon 1
starts 1
story 2
sympathetic 1
takes 1
talk 1
teach 1
teachers 1
terribly 1
that 1
the 17
their 1
them 1
this 1
to 17
together 1
tradesman 1
travels 1
treats 3
try 1
trying 1
tutors 1
two 2
uncle 1
underlying 1
upcoming 1
upon 1
wage 1
wanting 1
was 1
well 1
when 1
which 1
who 2
william 14
with 8
work 1
young 2
