2723219
/m/07_1ft
/m/07_1ft
Erich Segal

{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
a 25
abandoned 1
abandons 1
about 1
above 1
academic 1
academics 2
ace 1
adam 11
advisor 1
advisors 1
after 3
against 1
age 1
all 2
also 2
always 1
alzheimers 1
an 6
and 31
antonia 7
anya 3
apart 1
arguably 1
arms 1
as 4
assistant 1
at 1
attached 1
attending 2
attorney 1
average 1
avilov 2
bear 1
becomes 2
before 1
begins 1
being 1
below 1
berkeley 1
betrayal 1
between 1
bit 1
book 1
boss 1
both 1
brings 1
broken 1
burden 1
but 2
by 1
cancer 1
career 2
causing 1
centerspread 1
changing 1
characters 1
cheats 1
childhood 1
childless 1
close 1
colleague 1
commitment 1
commits 1
company 1
completed 1
complex 1
comprehension 1
conceiving 1
conduct 1
conspicuous 1
contacts 1
contribution 1
conveniently 1
coopersmith 1
costa 2
crushing 1
custody 1
da 2
daughter 6
days 1
deals 1
demise 1
denied 1
desperate 1
detour 1
detrimental 1
director 2
disease 1
divorce 1
divorces 1
dmitri 1
doctor 1
doing 1
drawn 1
drdmitri 1
drmax 1
early 1
efficacy 1
efforts 1
eighteen 1
encourages 1
ends 2
entry 1
ethical 1
eventually 2
extraordinary 1
faces 1
failure 1
falling 1
falls 2
family 1
far 1
father 5
fda 1
female 1
few 1
figure 1
figures 1
fill 1
finds 3
for 2
forgets 1
from 1
gain 1
gains 1
gap 1
general 1
genetics 2
genius 3
get 3
gets 1
gives 1
go 1
goes 1
good 1
gracefully 1
graduate 1
gregory 1
hand 1
hartnell 3
has 4
have 3
having 1
he 7
hears 1
heather 3
helps 1
her 14
him 2
himself 2
his 15
hold 1
holding 1
hollywood 3
how 1
however 1
immunologist 1
in 22
incapable 1
inferiority 1
intent 1
into 3
iq 1
iron 1
is 20
isabel 10
japanese 1
jerry 3
joins 1
judy 2
karl 1
keep 1
kimiko 1
known 1
lab 1
laboratory 2
lack 1
later 1
leads 2
life 10
list 1
longs 1
looks 1
love 6
making 1
man 1
marriage 1
married 2
marries 1
max 1
mentioning 1
mentor 2
migr 1
mit 1
more 3
morgenstern 2
mother 1
moves 1
muriel 2
nobel 4
normal 2
not 1
novel 1
obstetrician 2
of 24
olivia 1
on 7
one 1
out 2
over 2
owing 1
own 1
parts 1
person 1
personal 1
peter 1
physics 3
playboy 1
player 1
pleasures 1
post 1
power 1
powers 1
pracht 2
president 2
pressure 2
priorities 1
prize 3
producer 1
professional 1
project 1
proved 1
punishing 1
quit 1
quite 1
rather 1
raven 2
raymond 4
realises 2
realising 1
rebel 1
recognizes 1
reinforced 1
relationship 2
relationships 1
remains 1
repeated 1
repressed 1
reputed 1
rift 1
rochelle 1
rudolph 2
ruining 1
ruins 1
run 1
rushes 1
russian 1
sandy 7
saving 2
schedule 1
scientist 1
seedy 1
serves 1
she 6
sidney 1
slight 1
slowly 2
sly 1
social 1
solace 2
son 3
soon 1
spite 1
start 2
states 1
strengthens 1
stubbornly 1
student 1
studies 1
study 1
suicide 1
takes 1
taubman 1
teenage 3
tennis 1
than 3
that 4
the 29
them 2
thereby 2
thesis 1
they 2
things 1
thinks 1
this 5
thomas 1
three 1
throughout 1
time 1
to 24
together 1
treatment 1
turn 1
turns 1
unable 2
unapproved 1
under 1
united 1
up 2
uses 1
very 2
vindicate 1
wants 1
washington 2
when 1
which 1
who 8
whose 1
wife 1
win 2
wins 1
with 9
woman 1
won 1
work 1
years 2
youth 1
