14640164
/m/03grjr0
/m/03grjr0
Ann Radcliffe
1789
a 7
abandon 1
able 1
after 3
alive 1
alleyn 11
alleyns 1
allowed 1
an 1
and 18
angry 1
are 3
as 1
at 1
athlin 3
attack 2
attempt 1
avenge 1
away 1
back 1
baron 3
baroness 1
battle 1
beautiful 1
before 1
begins 1
belonging 1
both 3
brother 1
but 1
by 7
captive 1
castle 1
castles 1
challenges 1
clans 1
class 1
comfort 1
complications 1
confesses 1
confiding 1
conquer 1
daughter 1
dead 1
deceased 1
delicate 1
demands 1
desire 1
desires 1
despite 2
destroying 1
dies 1
differences 1
discovered 1
distressed 1
double 1
driven 1
dunbayne 3
earl 2
earls 1
elder 1
ends 1
ensuing 1
entreaties 1
escape 3
eventually 1
excessive 1
fact 1
fails 1
fainting 2
fall 1
falls 1
family 1
fathers 1
fellow 1
fits 1
for 3
forget 1
former 1
found 1
from 1
had 2
has 1
he 7
help 1
her 6
hidden 1
him 1
himself 1
his 8
however 2
if 1
impress 1
in 8
intervenes 1
is 10
it 2
kidnap 2
killed 1
lady 1
launches 1
laura 4
longlost 1
louisa 2
louisas 1
love 4
makes 1
malcolm 7
malcolms 3
manages 2
many 1
mark 1
marry 1
mary 8
matilda 2
meanwhile 1
men 1
miraculously 1
mother 3
much 1
murder 1
murdered 1
news 1
noble 1
novel 2
now 1
of 15
on 5
only 1
order 1
osbert 10
osberts 1
part 1
passion 3
passionate 1
peasant 2
philip 1
possess 1
prepare 1
prisoners 2
procure 1
quest 1
ransom 1
really 1
recognized 1
recovering 1
relating 1
release 2
rescue 1
restraints 1
revenge 1
rightful 1
sends 1
she 2
sister 1
sisterinlaw 1
skin 1
son 3
story 1
strawberry 1
such 1
supplanted 1
taken 1
tells 1
that 2
the 25
their 1
then 2
this 1
those 1
thought 1
thwarted 1
title 1
to 16
two 1
unhappy 1
upon 1
urged 1
virtuous 2
war 1
was 1
way 2
wed 1
wedding 1
whom 3
will 1
with 5
