11590159
/m/02rklmb
/m/02rklmb
Peter Robinson
2000
a 7
affair 1
alan 1
ambitious 1
an 3
and 10
animosities 1
annie 1
appears 1
area 1
as 1
asking 1
at 3
back 2
banks 5
bankss 3
be 1
been 1
begin 1
brought 1
bruised 1
but 2
cabbot 1
career 1
charlie 2
chief 3
clubs 1
cold 1
come 1
concerns 1
constable 2
core 1
corruption 1
courage 2
crook 1
dangerous 1
daughter 1
demons 1
destroyedby 1
detective 2
direction 1
discoveries 1
does 1
done 1
eastvale 2
emily 2
enemy 1
expansion 1
face 1
fact 1
family 1
filling 1
finds 1
first 2
for 2
frightened 1
gangster 1
go 1
grim 1
has 2
he 2
headlines 1
headquarters 1
help 2
her 2
highlevel 1
his 5
home 1
homicide 1
hotel 1
in 4
inspector 1
into 2
investigation 2
is 4
it 3
later 1
lead 1
leads 2
life 1
linked 1
little 1
living 1
londons 1
lowlevel 1
major 1
most 1
murder 1
music 1
nearly 1
nightclub 1
not 1
nude 1
occupy 1
occurs 1
of 11
officer 1
on 1
other 1
own 1
past 1
petty 2
pictures 1
politically 1
pornographic 1
powerful 1
private 1
recent 1
refuses 1
regional 1
reorganization 1
revelations 1
riddle 3
riddles 1
rock 1
runaway 1
savage 1
scandal 1
scream 1
senior 1
sergeant 1
sex 2
shakes 1
she 3
shocking 1
shops 1
show 1
site 1
slaying 1
soho 1
somehow 1
soon 3
stalledand 1
strip 1
suggest 1
tabloids 1
teenage 1
that 3
the 10
then 1
they 1
ties 1
time 1
to 11
trail 1
turns 2
unfolding 1
up 2
upmarket 1
venice 1
very 1
web 1
when 1
where 1
wish 1
with 4
work 1
world 2
years 1
yorkshire 1
