3303051
/m/094dqb
/m/094dqb
Aldous Huxley
1939
{"/m/014dfn": "Speculative fiction", "/m/037mh8": "Philosophy", "/m/05hgj": "Novel"}
200 1
34human34 1
a 10
absolute 1
accidentally 1
according 1
achieve 1
act 1
action 1
actualization 1
adjunct 1
affords 1
alive 1
all 2
along 1
also 2
an 4
and 15
anyone 1
ape 1
archive 1
archivist 1
are 2
around 1
art 1
as 4
assistant 1
at 2
attitude 2
be 3
behaviour 1
being 1
believes 1
blind 1
books 1
brought 2
but 2
by 3
called 1
cannot 1
carp 1
character 1
characteristically 1
characters 3
collection 1
conscious 1
consciousness 2
contemplation 1
continued 1
conventional 1
covers 1
cravings 1
creating 1
crocodiles 1
death 1
deep 1
denial 1
derives 1
despite 1
different 1
directed 1
disastrously 1
display 1
does 1
dr 2
each 1
earl 1
efforts 1
egobased 1
egotistical 1
eludes 1
english 1
enlightenment 2
essentially 1
estate 1
europe 1
even 2
every 2
everyone 1
evil 1
expand 1
expense 1
expert 1
expresses 1
faith 1
fears 1
few 1
fifth 1
figments 1
find 1
finds 1
for 2
forever 1
found 1
from 1
goal 1
gonister 1
good 3
goodness 1
grasp 1
great 1
greater 1
had 1
happiness 2
he 6
her 1
highlights 1
him 4
himself 2
hires 1
his 5
hollywood 1
human 2
humankind 1
huxley3s 1
if 2
illusory 1
immortal 1
in 8
individual 1
individuality 1
instead 1
intelligence 3
is 11
it 1
jeremy 2
jo 1
kill 1
kills 1
last 1
life 3
limitation 1
literature 1
live 1
lives 1
long 1
loyalty 1
medicine 1
millionaire 1
mistress 1
money 1
morals 1
morethanpersonal 2
mortality 1
mr 3
must 2
neighboring 1
not 4
now 1
obispo 5
of 12
on 2
one3s 1
only 3
or 2
other 2
others3 1
out 1
own 1
parrots 1
personalities 1
peter 2
philosophy 1
places 1
position 1
precious 1
presence 1
prevention 1
prevents 1
professor 1
propter 3
propter3s 2
rare 1
rather 1
reaching 1
reality 1
recollection 1
represents 1
research 2
resembles 1
resist 1
resort 1
revolves 1
ruled 1
saviours 1
science 2
secrets 1
seduces 1
seeks 1
sees 1
selfwill 1
shallow 1
she 2
should 1
sixties 1
slowly 1
so 3
started 1
stepping 1
still 1
stone 1
stoyte 9
success 1
sufficient 1
support 1
takes 1
than 1
that 6
the 11
then 1
there 1
they 1
this 3
though 2
thoughts 1
thus 1
to 16
together 1
too 1
toward 2
transcend 1
transcendence 1
transform 1
trapped 1
treatment 1
tutelage 1
ultimate 1
unable 1
under 1
undergo 1
unsleeping 2
up 1
upsetting 1
virginia 3
wants 1
way 1
when 1
where 1
which 2
who 2
whose 1
will 3
wish 1
with 1
without 1
works 1
young 1
