6408673
/m/0g47kp
/m/0g47kp
Michael Moorcock

a 19
about 1
activates 1
acts 1
after 2
again 2
aid 1
aided 2
alight 1
along 3
already 1
also 1
amongst 1
amulet 6
an 3
and 55
another 3
any 1
anyway 1
are 11
armour 1
arriving 3
artifact 1
as 5
assault 2
at 5
attack 3
attacked 3
attacking 1
attacks 1
attempting 1
awaiting 2
back 3
baron 3
battle 4
be 1
beast 4
become 1
been 3
before 1
begin 3
belonging 2
bestows 1
betrays 1
birachek 1
blinding 1
borders 1
bound 1
bradichla 1
brand 1
brass 7
bridge 1
brought 1
but 10
by 18
call 1
camp 1
captain 2
captive 1
capture 3
captured 2
carpathia 1
castle 13
chains 1
chance 1
city 3
command 2
commit 1
confronts 1
continue 1
corpses 1
count 2
courtyard 1
crimea 1
crossing 1
cult 2
cultist 1
cultists 1
cure 1
dark 14
daverc 13
decide 1
deeper 1
defeat 4
defense 1
delivers 1
deserted 1
destroy 1
destruction 1
device 2
dimension 5
disappears 1
do 1
don 1
dorian 1
drive 1
drugged 1
drugging 1
during 2
elects 1
elsewhere 1
empire 14
encountering 1
engagement 1
enough 1
enters 1
entire 1
escape 3
escapes 2
exist 1
fall 4
fatal 1
fears 1
females 1
fight 1
fights 1
filled 1
final 2
find 3
finds 2
first 1
follow 1
follows 1
for 4
forced 1
forces 14
free 2
frenchman 1
from 6
further 1
gave 1
ghosts 1
gifting 1
girl 2
given 1
go 1
god 10
gold 6
granbretan 4
gravely 1
group 6
guarded 1
guards 1
had 2
hall 1
hamadan 1
has 2
have 2
hawkmoon 34
he 10
head 2
heading 2
helps 1
her 1
herself 1
hidden 1
him 5
himself 2
his 8
hold 1
holy 1
hostage 1
however 2
huillam 1
hunting 1
hypnotised 1
ill 1
imprisoned 1
in 17
inexplicably 1
informs 3
inhabitants 1
innocent 1
intends 1
into 3
is 10
it 2
its 1
jet 6
join 2
journey 2
kamarg 9
keep 1
kidnapped 1
killed 2
killing 1
kills 1
knows 1
last 1
later 1
lay 1
lead 1
leadership 1
leading 1
learn 2
leaves 1
leaving 1
led 1
linked 1
looted 1
loyalties 1
machine 4
machines 4
mad 10
madness 1
make 1
man 1
manage 2
masquerade 1
massed 1
meanwhile 1
mechanical 4
meliadus 3
men 1
more 1
mountains 1
mouso 1
muskovian 1
must 2
mutant 1
mysterious 1
next 1
now 1
number 1
numbers 1
of 44
oladahn 17
old 1
on 10
once 1
one 2
only 1
orders 2
ornithopter 2
other 1
others 1
out 2
outside 1
overcome 1
overnight 1
own 2
pair 3
party 1
passage 1
people 2
persuades 1
pick 1
piracy 1
pirate 2
plagued 1
planning 1
point 1
power 4
process 1
raze 1
reach 2
reappear 1
reappears 1
recover 3
recovering 1
red 6
regroup 1
releases 1
releasing 1
remaining 1
renegade 1
rescued 1
return 2
returned 1
reveals 2
ride 2
ring 1
runestaff 2
rushes 1
safe 1
safety 1
sailors 1
saving 1
saying 1
science 1
secure 1
seeking 1
seemingly 1
sees 1
separated 1
servant 1
servants 1
set 2
sets 1
shagarov 2
shekia 1
shift 1
shifts 1
ship 3
shipwrecked 1
shore 1
should 1
sicilia 1
sickness 1
siege 1
sight 1
signs 1
skiff 1
smiling 2
so 2
soryandum 8
spirit 1
stalnikov 2
stopping 2
store 1
stormed 1
survived 1
survives 1
sway 1
take 2
taken 1
tavern 1
that 9
the 121
their 8
them 9
themselves 1
then 1
these 1
they 13
this 1
though 1
three 1
throbbing 1
through 1
throwing 1
to 46
together 1
top 1
towards 1
tower 1
towers 1
town 2
traitor 1
transcended 1
transformed 1
transport 1
travel 1
treasure 1
trio 2
troops 2
true 1
two 1
ukrania 2
ultimately 1
under 2
undercover 1
up 1
use 2
uses 2
vessel 1
villach 1
violent 1
von 1
vows 2
wait 1
war 1
warjaguars 2
warping 1
warrior 9
warriors 3
was 2
way 5
wear 1
weight 1
well 1
west 1
what 1
when 3
where 1
which 3
while 2
who 5
will 1
with 5
witness 2
women 2
would 2
wounded 1
wraiths 6
yisselda 10
zorvanemi 1
