34168603
/m/0hr6dv1
/m/0hr6dv1
Karen Russell
2011-02-01
{"/m/0127jb": "Magic realism", "/m/01jym": "Bildungsroman"}
130s 1
a 28
abandon 1
abandoned 1
abandoning 1
about 1
abuse 1
adamantly 1
addition 1
adopt 1
adoptive 1
advantage 1
after 1
age 2
agency 1
airplane 1
alerted 1
alligator 4
alone 2
altar 1
altogether 1
amount 1
amusement 1
an 8
and 44
appears 1
are 3
arriving 1
artifacts 1
as 5
assignment 1
at 7
attach 1
attacks 1
attempt 1
attempts 1
attend 3
attendance 1
attention 1
attraction 1
authorities 1
ava 18
away 1
be 4
becomes 3
been 5
befriends 1
begins 3
behind 1
being 1
believes 1
between 1
bigtree 3
bigtrees 1
bird 11
birds 1
board 2
boat 6
boiler 1
book 1
books 1
bothersome 1
boyfriends 1
brand 1
built 1
business 1
but 7
by 4
call 1
calls 1
cancer 1
carnival 1
casino 1
cave 1
champion 1
changing 1
chased 1
chief 4
child 1
children 1
civilian 1
clash 1
clearing 1
coming 1
commercial 1
communicate 2
conditions 1
confesses 1
confined 1
conservation 2
contact 1
continues 3
control 1
convinced 1
cope 1
copy 1
corps 2
cousin 1
coworker 1
coworkers 1
creature 1
crew 2
crocodiles 1
darkness 4
darwinism 1
daughterinlaw 1
day 1
dead 3
debts 1
decaying 1
decides 2
deep 1
deeper 1
defeat 1
dementia 1
dense 1
derelict 2
desires 1
despite 1
destruction 1
deteriorate 1
developers 1
did 1
died 1
difficulty 1
directed 1
direction 1
disappear 1
disappears 1
discover 1
discovers 1
distance 1
dont 1
down 1
dredge 3
dredging 2
dress 1
drives 1
driving 1
drowning 1
drunken 2
duration 1
ecological 1
educated 1
educational 1
efforts 1
elope 1
employment 1
encounter 1
endear 1
ends 1
enjoys 1
enters 1
escape 1
even 1
eventually 4
everglades 3
explains 1
explosion 1
family 6
farm 1
father 3
fears 1
fiercelyindependent 1
find 1
finding 2
finds 3
first 2
fishermen 2
fishing 1
flees 1
flight 1
floating 1
flood 1
florida 2
fly 1
food 1
for 7
found 3
from 5
future 1
get 1
ghost 2
ghosts 2
girl 1
girls 1
gleaned 1
group 2
grown 1
guests 1
harvard 1
has 8
have 4
having 1
he 8
heard 1
helps 1
her 17
heritage 1
hero 1
herself 1
high 1
highfalutin 1
hilola 3
him 8
himself 1
hires 1
his 22
hold 1
home 1
homeschooled 1
houses 1
however 1
husband 2
hut 1
improvements 1
in 17
inability 1
independence 1
indeterminate 1
into 3
invasive 1
is 7
island 3
isolation 1
it 1
its 1
janitor 1
job 1
kills 1
kiwi 10
knowledge 1
lair 1
land 1
language 1
largely 2
later 1
lead 1
leading 1
learn 1
learned 2
leave 1
leaving 3
left 1
legends 1
library 1
lies 1
life 1
lifeguard 1
lifestyle 1
light 1
little 1
lives 1
living 1
local 3
locker 1
loneliness 1
looking 2
lost 1
louis 8
love 1
mainland 4
makes 1
man 13
mannerisms 1
many 1
margaret 1
marshes 1
materials 1
mead 2
meanwhile 3
meets 1
melaleuca 1
men 1
middle 1
midwest 1
might 1
minimumwage 1
mother 4
motor 1
mounting 1
move 1
mystic 1
named 1
native 1
nearby 1
new 2
newfound 1
night 2
no 3
normal 1
notices 2
novel 1
now 1
nursing 1
obscenities 1
obsessed 1
occult 1
of 26
off 2
offshore 1
old 1
on 16
one 2
opened 1
opens 1
opposed 1
or 1
osceola 14
ouija 2
out 1
outboard 1
own 1
park 6
part 1
patriarch 1
pilot 3
plan 1
plans 1
plants 1
plummeting 1
pole 1
pool 1
possessed 1
possession 1
possibly 1
power 1
powers 1
primitive 1
promoted 1
properties 1
purpose 2
quest 1
raised 1
ran 1
ranger 1
rangers 2
rapes 1
realize 1
recently 1
recover 1
remaining 1
remains 1
remote 3
rescues 1
rest 1
resting 1
result 1
reunited 1
reveals 1
run 1
saltwater 1
samoa 1
save 1
sawgrass 1
sawtooth 1
school 2
scrawl 1
screaming 1
screams 1
seances 1
secretly 2
seemingly 1
selling 1
sends 1
sense 1
sent 1
she 10
shut 1
siblings 1
signs 1
silences 1
sister 4
sisters 1
situation 2
skeptical 1
skills 1
some 3
sometimes 1
son 1
special 1
species 1
spiritist 1
spirits 1
star 1
state 1
stated 1
stilts 1
stranded 1
struggle 1
success 1
such 1
suffering 1
suggests 1
swamp 4
swamplandia 9
take 2
taking 1
talk 2
teenage 3
telegraph 1
telling 1
thanksgiving 2
that 14
the 80
their 6
they 6
thirteenyearold 1
this 1
threat 1
threatens 1
three 1
through 1
to 43
tourists 1
tours 1
tragedy 1
train 1
training 1
travel 1
traveling 1
trip 2
turns 1
under 1
underworld 1
unique 1
unspecified 1
unveils 1
up 2
uses 1
using 1
vegetation 1
vernacular 1
via 1
vijay 1
was 1
water 1
way 2
wearing 1
wedding 1
what 1
when 4
where 2
which 1
while 1
who 5
wilderness 1
will 3
with 18
without 1
woman 2
work 3
working 1
world 4
worry 1
wrestler 1
wrestling 1
years 1
young 1
younger 1
