28114181
/m/0cm80bx
/m/0cm80bx
Erin Hunter

a 9
about 1
added 1
after 2
agrees 1
also 1
an 2
ancient 1
and 17
another 1
any 2
anyone 2
apparent 1
are 4
around 1
arrive 1
as 1
at 5
attacked 1
backs 1
battle 3
become 1
becomes 2
been 2
begin 1
begins 1
behind 1
between 1
billystorm 2
book 1
bring 1
but 4
by 2
call 1
called 1
calls 1
came 1
cat 3
cats 9
clan 16
clear 1
coal 1
code 1
come 1
conflicts 1
cora 1
daughter 1
day 5
daylight 6
death 1
decide 1
decides 1
deeper 1
defeat 1
defeating 1
deputy 1
despite 1
destroy 1
disband 1
disproves 1
does 2
dream 2
dump 1
each 2
ebonyclaw 1
echosong 1
end 2
ends 1
especially 1
even 3
everyday 1
everyone 1
excellent 1
exchange 1
fact 1
family 1
feeling 1
feelings 1
fierce 1
fighting 1
firestar 3
first 1
follows 1
for 3
formed 1
former 1
four 2
frecklepaw 1
from 2
fun 1
future 1
gorge 3
greater 1
greenleaf 1
group 2
had 1
harveymoon 1
has 3
have 5
he 2
help 5
helped 1
her 4
his 1
honor 1
house 1
how 2
however 1
hunt 2
hunting 1
if 2
in 11
independent 1
infuriated 1
into 1
invited 1
is 6
it 6
join 1
keep 1
kill 2
killed 1
killing 1
kits 1
kitty 1
kittypets 2
later 1
lead 2
leader 1
leafbare 1
leafstar 9
learn 1
leaving 1
let 1
lives 1
loners 3
longer 1
low 1
loyal 1
macgyver 1
make 1
makes 1
many 2
mate 2
medicine 3
met 1
months 1
moon 1
moons 1
more 1
moves 2
must 1
my 1
nearby 2
need 1
new 2
next 1
night 2
not 5
of 9
off 1
old 1
on 1
one 2
order 1
other 1
others 1
our 1
own 1
patrol 2
patrols 1
policy 1
present 1
prevent 1
prey 1
prologue 1
protecting 1
proud 1
quest 1
rat 1
rats 3
realize 1
realizes 1
receives 1
recruit 1
red 2
reformed 1
regular 2
respects 1
return 1
returning 1
rogues 1
roots 1
rules 1
same 1
say 1
sees 1
sets 1
shall 1
sharpclaw 2
she 7
shorty 1
since 2
six 1
skyclan 9
snookpaw 1
so 1
some 1
spent 1
spiderstar 1
spottedleaf 1
states 1
stay 2
steal 1
stick 5
still 2
storms 1
such 1
survive 1
talks 1
teach 1
teaches 1
techniques 1
tensions 1
territory 1
than 1
that 12
the 45
their 4
them 3
there 2
these 1
they 8
thinks 1
this 1
though 1
threatened 1
throughout 1
thunderclan 1
to 18
town 3
tried 1
tries 1
two 1
twolegs 1
until 1
up 1
victory 1
visiting 3
visits 1
warriors 11
went 1
were 1
when 3
while 1
who 1
will 4
with 4
