2602597
/m/07q_xy
/m/07q_xy
Terry Brooks
2005-09-06
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 21
abandoned 1
able 3
aboard 1
about 1
advancing 1
advice 1
aeriad 2
after 5
again 1
agrees 1
airship 5
all 3
along 2
also 1
although 1
an 4
and 39
animal 1
another 1
arborlon 3
ard 4
are 2
armies 1
arms 1
army 3
aru 2
as 7
at 2
atalan 1
atalancaptured 1
attack 1
aunt 1
awakening 1
away 1
awoken 2
back 5
banished 3
barely 1
barrier 1
base 1
be 4
bears 1
been 3
before 2
being 1
bek 6
bellizen 1
besiege 1
besieged 1
blessed 1
both 3
break 1
bring 1
brother 2
building 1
but 3
by 10
called 1
calling 1
camp 1
can 1
capital 1
captain 1
catacombs 1
catch 1
chamber 1
chambers 1
changeling 1
chased 1
cinnaminson 1
collapses 1
combined 1
command 1
commissions 1
communication 1
companions 1
companionsthe 1
company 1
confiscated 1
confronts 1
continues 1
created 1
crystalbased 1
crystalpowered 1
daring 2
darkwand 10
dart 4
death 1
dechtera 1
decided 1
defeats 1
demon 1
demons 1
destroy 1
destroying 1
destroys 1
destructive 1
devastating 1
devoured 1
diplomatic 1
directed 1
discover 2
discovered 1
dragon 2
dream 1
druid 5
druids 1
dungeons 1
dunsidan 2
dwarf 1
each 1
elessedil 1
elfgirl 1
elfstones 2
elimination 1
ellcrys 1
elven 3
encounters 1
engineer 1
ensure 1
escaped 2
escapes 1
escaping 2
etan 1
even 1
evil 2
exchange 1
executioners 1
explained 1
family 1
father 1
fear 1
federation 3
final 1
finally 1
find 2
finding 1
finds 3
firelaunching 1
flood 1
flooding 1
followers 2
for 4
forbidding 6
force 1
forced 2
forces 2
form 2
former 1
fortress 1
found 2
four 3
free 2
freeborn 1
freedom 1
frenzy 1
friends 1
frightening 1
from 7
fully 1
fury 1
giant 1
girl 1
girlfriend 1
go 1
grabs 1
graumth 1
grianne 17
guard 1
guided 1
guilt 1
guise 1
had 3
has 5
have 3
having 3
he 6
headed 1
help 3
her 15
herself 1
hiding 1
high 3
him 9
his 8
history 1
home 1
however 1
huge 1
if 1
illegitimate 1
ilse 2
imprisoned 1
in 15
incapacitate 1
inescapable 1
intent 1
into 6
iridia 2
irrepressible 1
is 16
it 6
itself 1
keep 1
keeping 1
kermadec 4
khyber 7
killed 1
king 1
lands 3
last 1
late 1
leads 1
leaves 2
led 1
life 1
lives 2
location 1
lord 2
loyal 1
made 1
magic 5
make 1
manage 1
manages 2
marauding 1
massive 1
may 1
meanwhile 2
meeting 1
middle 1
minion 1
minister 2
minute 1
more 1
moric 6
morys 1
name 1
negotiated 1
never 2
new 1
newly 1
night 1
not 3
obliterates 1
of 27
ohmsford 4
on 3
one 1
only 3
or 1
order 1
orek 1
out 1
over 1
paranor 7
passage 1
pen 19
picking 1
pied 1
place 2
plains 1
possess 1
possible 1
power 2
powerful 2
powerfully 1
powers 1
prekkendoran 1
prepare 1
presumably 1
previously 1
prime 2
prisoner 2
promising 1
prototype 1
psychological 1
pyson 1
quarters 1
raid 1
rallies 1
realm 1
receiving 1
recent 1
refuge 1
refuse 1
reinforced 1
release 1
remaining 1
reminds 1
repel 1
rescue 1
research 1
retakes 1
retires 1
return 6
returned 1
returning 1
revealed 1
rhys 4
rightful 1
river 1
room 1
rough 1
rover 1
rue 2
safe 1
sanderling 1
save 3
secret 1
secured 1
seek 1
seen 1
sen 2
sending 1
sends 1
sentenced 1
set 1
several 1
shadea 4
shadows 1
she 7
should 1
silver 1
simple 1
skills 1
sleeping 1
small 1
sneak 1
so 1
soon 1
speculates 1
spirit 2
spring 1
springs 1
sprung 1
stand 1
still 1
stow 1
straken 2
stronghold 1
successfully 1
such 1
sure 1
survived 1
swift 1
tagwen 4
take 2
taken 3
takes 1
taking 3
tanequil 2
taupo 1
tell 1
than 1
that 16
the 94
their 4
then 1
they 7
this 3
through 3
thus 1
to 41
together 3
told 1
too 2
towards 1
transformation 1
transformed 1
transport 1
transported 1
transports 1
trap 1
traunt 1
travel 1
travels 1
treaty 1
tree 2
treethe 1
trefen 1
triagenel 4
trick 1
troll 2
trolls 2
try 1
tunnel 1
tunnels 1
turncoat 1
two 1
under 3
unfettered 1
unfortunately 1
unleashes 2
unlikely 1
unshaken 1
up 3
upon 3
urdas 1
use 1
uses 1
using 1
utterly 1
vizier 1
walls 1
wants 1
was 2
way 2
weaken 1
weapon 4
weapons 1
weka 5
well 1
when 3
where 2
which 1
while 3
who 5
will 4
wishsong 5
witch 2
with 9
within 1
work 1
world 2
wormlike 1
wraithlike 1
yet 1
zolomach 1
