26420356
/m/0bbvb2k
/m/0bbvb2k
Donald Harington
2005

135 1
137 1
a 15
actors 1
addition 1
after 2
an 3
and 23
appear 1
are 3
arlis 9
arrested 1
as 2
assaulting 1
at 2
audience 1
away 1
barber 1
barbershop 1
be 1
been 1
begin 1
binns 8
blames 1
both 1
bottom 1
boyd 1
breaks 1
broken 1
but 2
buy 1
buys 1
by 1
california 1
can 1
cannot 1
car 2
carl 3
characters 1
charming 1
chases 1
climbs 1
converses 1
cooperation 1
day 2
deal 1
decades 1
demetrius 1
describes 1
despite 2
down 1
dream 2
during 2
each 2
emmett 1
epilogue 1
evangelist 1
fairies 2
fall 1
fascinates 1
faught 1
fellatio 1
few 1
film 1
films 1
find 2
finds 2
following 1
for 4
four 2
friend 1
from 1
frustrated 1
girl 2
girlfriend 1
good 1
goodfeller 1
got 1
grows 1
habit 1
had 1
handsome 1
happens 2
harington 1
has 2
having 2
he 6
hear 1
helen 3
helena 1
helpful 1
hermia 1
him 2
his 7
homes 1
hoppy 14
in 12
interrupted 1
is 4
it 2
itinerant 1
landon 1
later 2
leave 1
leaves 1
liking 1
lysander 1
made 1
man 1
meet 1
midnight 1
midsummer 2
milsap 1
missing 2
molest 1
money 1
moonshine 2
movie 4
movies 3
named 2
next 5
night 5
not 1
novels 1
now 1
of 5
on 1
once 1
only 1
opens 1
other 2
parallels 1
partner 1
parts 1
places 1
planned 1
plays 4
pornographic 1
possibly 1
previous 1
projector 1
proves 1
puckish 1
ravine 1
reading 1
recognized 1
recovers 1
reference 1
referred 1
relationship 1
returning 1
roles 1
rule 1
search 1
see 1
sees 1
seventeenyearold 1
sex 1
sexual 1
share 1
sharline 14
she 1
show 1
shows 2
sighted 1
situation 1
skilled 1
small 1
some 1
son 1
sound 1
starts 1
stowaways 1
stowed 1
takes 1
teenager 1
tension 1
that 6
the 23
theater 1
their 3
themselves 1
they 3
to 13
together 1
town 4
treats 1
tried 1
trip 1
truck 1
two 1
underage 1
up 1
usual 1
version 1
visits 1
voice 1
wandering 1
western 1
what 1
where 1
while 1
whiskey 1
whitlow 1
who 1
with 4
woods 2
