6161733
/m/0ftg74
/m/0ftg74
Scott Lynch
2006-06-27
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/05hgj": "Novel"}
a 26
aboard 2
acquire 1
actually 2
after 4
against 5
agreement 1
all 1
allow 1
allowed 1
along 1
already 1
also 2
amount 1
an 5
and 33
animals 1
any 1
appear 1
appears 1
apprentice 1
are 5
arranges 1
arrogance 1
as 9
assassinated 1
assembled 1
at 5
avenging 1
awry 1
back 1
barely 1
barsavi 8
bastards 5
be 1
beating 1
becomes 2
been 1
before 4
beginning 1
begins 1
being 3
between 1
blunt 1
bodyguards 1
bombs 1
bondsmage 7
bondsmagi 1
both 1
boy 1
brandy 1
brethren 1
brewing 1
bring 1
brokering 1
brutal 1
bug 3
build 1
but 4
by 4
calo 2
camorr 6
cannot 1
capa 5
capture 2
captured 1
cask 1
celebration 2
chains 2
child 1
children 1
circumspect 1
citizens 1
city 4
civil 1
clever 1
coerces 1
collectively 1
combat 1
commencing 1
community 1
complete 2
completely 1
complex 1
con 1
confers 1
confidence 3
confident 1
confronts 1
consuming 1
course 1
craft 1
crew 1
crimes 1
criminal 3
crooked 1
cut 1
dangerous 1
dead 1
deception 1
decides 1
declaring 1
dedicated 1
defiance 1
delivery 1
despite 2
devastating 1
discover 1
discovers 1
docks 1
does 2
don 1
down 2
driven 1
drydocked 1
due 2
duke 1
during 3
effectively 1
elaborate 1
employs 1
ends 1
enemy 1
enraged 1
entire 2
erupts 1
escaping 1
especially 1
establishes 1
exact 1
exclusive 1
execution 2
expert 1
explode 1
exploiting 1
extremely 1
fallen 1
familiar 1
family 2
father 1
favorite 1
fees 1
fehrwight 1
few 1
fighter 1
figure 1
filled 2
find 1
finds 2
fingers 1
fleeing 1
for 5
foreign 1
foresight 1
four 1
from 3
front 1
funeral 1
furthermore 1
galdo 2
game 2
games 1
garrista 1
gentle 1
gentleman 1
gentlemen 4
get 1
gifts 1
go 3
god 1
gods 1
gray 16
ground 1
group 2
guard 2
guild 1
had 2
harbor 1
hatchets 1
hatred 1
have 1
having 1
he 4
head 2
headquarters 1
height 1
help 1
hideouts 1
him 13
himself 3
his 21
holiday 1
home 2
horse 1
identity 2
impersonate 1
important 1
in 12
incapacitated 1
includes 1
individual 1
individuals 1
infamous 1
intervening 1
into 4
invite 1
invites 1
is 12
it 4
its 2
jackofalltrades 1
jean 6
kill 3
killed 2
killing 1
kills 3
king 16
known 2
lack 1
lamora 1
leader 1
learn 1
leave 1
lengthy 1
liability 1
life 2
link 1
linked 1
locke 25
long 1
lorenzo 1
loves 1
lower 1
lukas 1
lying 1
magic 1
maintains 1
man 1
manage 1
manages 2
meeting 2
member 1
members 2
men 2
mineral 1
mischief 1
most 2
mysterious 1
name 1
named 3
nameless 1
nearly 2
needs 1
never 1
new 2
newlyorphaned 1
nicknamed 1
nightfall 1
no 1
nobility 6
nobles 1
not 5
novel 3
numerous 1
of 36
off 4
on 4
one 6
onlookers 1
only 1
operate 1
opposed 1
or 3
order 1
ordinary 1
orphan 1
other 1
out 2
outmatched 1
over 1
paid 1
pair 2
party 2
passive 1
pays 1
peace 2
perfectly 1
pierced 1
plague 1
plan 1
plans 1
play 1
plot 1
possesses 1
powerful 1
practice 1
pretends 1
pretense 1
prevents 1
priest 1
proceed 1
prominent 1
protect 2
protects 1
psychic 1
ransacked 1
raza 1
realizes 1
reasons 1
reassurances 1
remove 1
rendering 1
representative 1
reputation 1
required 1
resources 1
respectable 1
restraint 1
resulting 1
return 1
reveal 1
revealed 1
revenge 2
richest 1
ridiculous 1
rushes 1
ruthless 1
sabetha 1
salvara 1
salvaras 1
sanza 1
saved 1
scam 1
scorpionhawk 1
sculptures 1
sealed 1
secret 2
secrets 1
selflessness 1
sell 1
services 1
set 1
setting 1
ship 3
single 1
sisters 3
skills 1
sneak 1
sneaks 1
sons 1
soon 2
sorcerers 1
sorcery 1
spare 1
spymaster 1
stage 1
state 1
statues 1
still 1
stock 1
strength 1
stunned 1
subdue 1
superhuman 1
swears 1
take 1
takes 1
tannen 1
targeted 1
temple 1
that 9
the 84
their 2
them 1
they 5
thief 1
thiefmaker 3
thievery 1
thieves 2
things 1
thirteenth 1
thirty 2
thirtyone 1
this 5
thorn 1
thrown 1
time 2
timebombs 1
tipped 1
to 37
toleration 1
tongue 1
torture 1
train 1
trauma 1
trick 1
tries 1
true 1
trusted 1
turning 1
turns 1
twelve 1
twin 1
twins 1
ultimately 1
unable 1
underground 1
underlings 1
underworld 3
unfortunately 1
unspecified 1
unspoken 1
up 1
upon 1
urine 1
used 1
uses 1
vast 1
vegetables 1
vengeance 1
view 1
wait 1
waiting 1
war 1
warden 1
warn 1
wary 1
was 2
we 1
wealth 1
well 1
what 1
when 2
where 1
which 1
while 2
who 5
whom 2
wicked 1
wife 1
will 1
with 8
woman 1
would 1
wraithstone 1
wrath 1
wrestle 1
years 1
young 1
