635510
/m/02z3f0
/m/02z3f0
Roald Dahl
1983
86 2
a 38
about 2
act 1
activate 1
actually 2
adopt 1
adult 1
after 6
afterward 1
all 8
allowing 1
along 1
also 4
am 1
among 1
an 4
and 32
angry 1
annual 1
another 2
any 1
anyone 1
are 10
arrives 1
as 7
at 7
attempt 1
away 1
bald 2
ballroom 1
barrier 1
be 4
because 5
becomes 2
begins 1
being 1
bit 1
black 1
blue 1
bluffing 1
book 1
bottle 1
bournemouth 1
boy 17
brave 1
break 2
bruno 6
building 1
but 3
by 9
calling 1
cancel 1
candy 1
captured 1
car 1
castle 3
cats 1
cause 1
causes 1
change 3
chapters 1
check 1
chicken 1
child 5
childhood 1
children 5
chocolate 3
clawed 1
claws 1
climbs 1
coast 1
comes 1
comforted 1
coming 1
concoct 1
conscious 1
constant 1
convention 2
could 1
country 2
crash 1
cruellest 1
cruelty 1
cue 1
dare 1
day 1
deformed 1
delay 1
delayedaction 1
demonic 1
demons 2
demonstration 1
described 1
despite 1
destroy 2
difficulty 1
dinner 3
disguises 1
distance 1
do 1
doctor 1
doesnt 2
doing 1
dose 1
down 1
each 1
earth 1
eaten 1
eats 1
eerie 1
effect 1
encounters 1
end 2
england 3
english 3
enters 1
entice 1
especially 1
espies 1
even 2
every 2
exterminated 1
eyes 3
face 2
failed 1
failure 1
feet 3
female 1
few 1
floor 1
followers 1
food 1
foolish 1
for 11
force 1
forcing 1
form 2
forms 1
formula 5
foul 1
four 1
free 2
friends 1
from 4
further 1
get 1
gets 1
girl 1
give 1
given 2
global 1
gloved 1
gloves 3
glow 1
gluttonous 1
go 1
goes 2
grand 10
grandmother 13
guard 1
gums 1
had 1
hair 2
hall 1
hand 1
handbag 1
hands 2
has 2
have 5
having 2
he 13
heads 1
help 1
her 24
hide 1
hideously 1
high 9
him 10
his 18
holiday 1
homemade 1
hopes 1
hotel 5
how 1
human 6
hurriedly 1
ill 1
immediately 1
impossible 1
in 15
inchlong 1
incinerates 1
include 1
information 1
inhuman 2
instantly 6
instead 1
instructed 1
intended 1
into 14
is 10
it 3
jenkins 1
kill 4
killed 2
killing 2
kitchen 2
known 1
laced 1
lasers 1
later 1
learned 1
learning 1
like 2
limp 1
lips 1
live 2
location 1
longer 1
look 3
looks 1
lucky 1
lured 1
luxury 1
machine 2
make 1
maker 1
managed 1
manages 1
mask 1
massive 1
master 1
meal 1
meat 1
meeting 1
members 1
mentioned 1
mice 4
mind 1
minions 1
minutes 1
money 1
moneymaking 2
mountains 1
mouse 8
name 1
named 1
narrator 3
never 1
next 1
night 1
nine 2
no 1
normal 1
norway 1
norwegian 2
not 2
notebook 1
notices 2
obvious 1
of 22
offers 1
on 13
one 4
only 3
onto 1
opening 2
or 4
ordering 1
orders 2
other 2
out 2
over 1
overdose 2
overdoses 1
panic 2
parents 3
per 1
personality 1
persuades 1
pet 1
plan 2
planned 1
plotting 1
pm 1
pneumonia 1
porpoise 1
potion 5
pours 1
precisely 1
presence 1
pretty 1
prevention 1
probably 1
process 1
produce 1
promise 1
protest 1
public 1
purchase 1
put 2
quickly 1
raw 1
reaching 1
realizes 1
really 1
reason 1
recognize 1
recognizes 2
records 1
redwhite 1
release 1
removes 1
repeat 1
resemble 1
retainers 1
retains 1
return 2
returns 1
reveal 2
revealed 1
reveals 1
roof 1
room 2
royal 1
rspcc 1
run 1
says 2
scalp 1
school 1
scratch 1
sea 1
secretly 1
security 1
seek 1
sees 1
sell 1
sentience 1
set 1
she 11
shoes 1
shoot 1
shops 1
shortly 2
show 1
shows 1
signs 1
since 1
single 1
slightly 1
slipping 1
slips 1
smell 1
smile 1
snake 1
society 1
some 1
soup 1
southern 1
specific 1
spit 1
spots 1
squeeze 1
staff 1
stage 1
staring 1
states 1
stay 1
stays 1
stench 1
stolen 1
strange 1
studies 1
successor 1
suggests 1
supper 1
survived 1
swam 1
sweet 1
tables 1
taken 1
takes 1
teachers 1
teeth 1
tells 3
terrified 1
than 2
that 6
the 106
their 5
them 7
then 4
there 1
thereby 1
they 10
thinks 1
thirty 1
this 2
threat 1
three 1
tight 1
time 1
to 50
toeless 2
tracking 1
tragic 1
train 1
transformed 2
travel 1
tree 1
treehouse 1
true 1
turn 3
turned 2
turning 2
turns 3
under 2
underneath 1
unknowingly 1
unnamed 1
until 1
unveils 1
up 5
use 1
using 2
vacation 1
very 1
voice 1
want 1
warn 1
warns 2
wary 1
was 2
way 1
wear 1
wearing 1
were 1
what 1
when 6
where 1
whereabouts 1
whereupon 1
whether 1
which 11
while 2
who 1
whose 1
wig 1
wigs 1
will 7
witch 14
witches 27
with 8
within 1
woman 2
women 4
work 1
world 4
year 1
yearly 1
years 1
young 2
