7321945
/m/025z339
/m/025z339
Andrew Greig
1996
125 1
20th 1
a 9
an 2
and 4
andrew 1
another 1
are 1
balmoral 1
bored 1
british 1
buchan 1
buchans 1
by 4
century 1
closely 1
collective 1
conservative 1
copywriter 1
corporation 1
crisis 1
decide 1
died 1
downcast 1
dutch 1
estate 1
exspecial 1
flight 1
follows 1
for 1
forces 1
fowler 1
friends 2
greig 1
hardliving 1
has 2
hero 1
highland 1
hijacked 1
home 2
in 5
jaundiced 1
john 5
joiner 1
kirsty 1
late 1
leftwing 1
macnab 4
macnabs 1
marital 1
midforties 1
modernday 1
moroccan 1
mp 1
murky 1
name 1
novel 1
of 3
on 1
original 1
owned 1
past 1
plane 1
plot 1
poaching 1
prospective 1
rather 1
rented 1
reporter 1
return 1
revive 1
rewritten 1
royals 1
scotland 1
set 1
singer 1
soldier 1
successful 1
suddenly 1
target 1
the 9
their 1
they 1
third 1
three 2
to 2
traditional 1
turn 1
under 1
up 1
war 1
whose 1
wife 1
with 2
