7171966
/m/0h7zhw
/m/0h7zhw

1990-04-25
{"/m/03mfnf": "Young adult literature"}
12yearold 2
17yearold 1
2000 1
500 1
8yearold 1
a 15
about 1
abusing 1
after 2
afternoon 1
alcoholic 1
an 1
and 13
appeal 2
are 1
as 1
at 3
attacked 1
away 1
back 1
bad 1
be 5
because 2
been 1
believe 1
beneficial 1
best 2
book 1
boy 2
brother 5
bullying 1
by 4
can 1
care 1
caused 1
causes 1
causing 1
cocaine 1
comes 1
connection 1
count 1
crack 2
davidson 1
dead 1
deeper 1
defend 1
delicatessen 1
directly 1
dismay 1
does 1
dwayne 3
family 3
father 3
feel 2
feeling 1
fellow 1
fight 1
fights 1
find 1
finds 2
follow 1
for 2
former 1
friend 2
from 4
gang 5
get 3
getting 1
given 1
gives 1
giving 2
go 1
gun 4
happened 1
hard 1
harlem 1
has 1
having 3
he 4
help 1
hicks 2
high 1
him 6
himself 1
his 15
home 1
in 10
includes 1
indian 1
into 1
is 13
jail 3
jamal 20
jevon 1
job 1
join 1
joining 1
joins 1
just 1
keeps 1
kids 1
kill 1
leader 4
leads 1
letting 1
life 1
like 1
local 1
losing 1
mack 7
main 1
make 2
mama 4
medical 1
meets 2
member 1
members 3
money 1
morning 1
mother 3
motive 1
moved 1
mr 1
much 1
needs 1
new 1
next 1
not 2
novel 1
now 1
occasion 1
occasions 1
of 7
offering 1
older 1
on 4
once 1
one 1
only 3
order 1
orders 1
other 2
out 6
owner 1
park 1
person 1
position 1
principal 1
problem 1
puerto 1
randy 8
really 1
released 1
rico 1
sassy 1
says 1
school 4
scorpions 5
second 2
see 1
selling 1
sent 1
several 1
she 2
should 2
sister 1
soon 1
stabbed 1
started 1
starts 1
story 2
streets 1
teachers 1
tells 3
that 4
the 32
them 1
themselves 1
then 1
they 5
thinking 2
thinks 1
this 2
threatens 1
through 1
time 3
tito 3
to 18
tough 1
trouble 3
trying 1
ultimately 1
until 1
used 1
very 1
visit 1
visits 1
vote 1
warning 1
was 1
way 1
when 1
which 1
while 5
who 1
will 1
with 4
would 1
young 1
