3989587
/m/0bbb1c
/m/0bbb1c
Scott Ciencin
2002-08-01
{"/m/01hmnh": "Fantasy", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
a 3
across 1
an 1
and 3
angel 2
are 1
attain 1
become 1
beginning 1
between 1
bodies 1
but 2
cordy 1
country 1
divided 1
doesnt 1
doubt 1
dreams 1
epic 1
erase 2
execution 1
fear 1
foundation 1
founded 1
good 1
grow 1
hart 1
have 1
havenots 2
haves 1
help 1
holding 1
hope 1
impressed 1
in 2
insanity 1
is 5
it 1
its 1
la 1
life 1
lily 4
looks 1
luck 1
mantra 1
message 1
more 1
motivational 1
new 1
not 1
of 4
organization 1
perfect 2
pierce 1
proportions 1
pure 1
purpose 1
puzzlingly 1
riches 1
secret 1
seem 1
she 1
some 1
soon 1
speaker 1
stop 1
suspect 1
sweeping 1
tanned 1
tempting 1
the 4
those 1
tired 1
to 4
toned 1
want 1
who 1
with 1
wolfram 1
world 1
your 1
