1835728
/m/05_rs6
/m/05_rs6
Leo Tolstoy
1912

a 14
accomplished 1
act 1
affair 1
after 1
ago 1
all 1
an 1
and 12
arms 1
arrested 1
as 2
attain 1
aware 1
become 1
becomes 2
beds 1
begins 2
being 1
beloved 1
blow 1
boredom 1
boys 1
by 2
cell 1
change 1
childhood 1
clearer 1
come 1
convent 1
conventional 1
countess 1
cousin 1
cuts 1
daughter 1
decide 1
despite 1
destined 1
discovers 2
divorced 1
doubt 1
eight 1
eve 1
exceptional 1
fails 1
failure 1
faith 1
family 1
far 1
father 3
fiance 1
finds 1
finger 1
follow 1
for 3
from 2
great 1
group 2
grows 1
had 2
has 2
having 2
he 15
healer 1
her 3
hermit 1
him 3
himself 1
hired 1
his 11
holiness 1
humility 1
i 1
imbued 1
in 4
inability 1
intention 1
is 11
joined 1
kasatsky 1
known 1
korotkova 1
later 2
leaves 2
life 3
lust 1
makovkina 2
man 2
many 2
mary 1
massive 1
merchant 1
merrymakers 1
mikhaylovna 1
monastery 1
monk 1
months 1
morning 2
named 1
new 1
next 1
nicholas 1
night 2
now 3
of 11
off 1
on 1
one 2
order 1
ordered 1
orthodoxy 1
other 1
out 1
own 1
pashenka 1
path 1
peasant 1
pilgrims 1
praskovya 1
pride 2
prince 1
profoundly 1
protect 1
remarkably 1
remembered 1
removed 1
reputation 1
retreats 1
russian 1
seduce 1
seeks 1
sense 1
senses 1
sent 1
sergius 3
service 1
she 1
siberia 1
so 1
spends 1
stepan 1
still 3
story 1
stunned 1
successfully 1
test 1
that 1
the 15
them 1
things 1
this 1
to 10
tormented 1
tortured 1
towards 1
transformed 1
true 1
tsar 1
until 1
visit 1
vowed 1
wander 1
weak 1
wedding 1
welltodo 1
when 1
where 1
whom 1
wide 1
winter 1
with 5
woman 1
works 1
world 1
year 1
years 2
yet 2
young 2
youth 1
