1032876
/m/0400pd
/m/0400pd
Henning Mankell
1997
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
2yearold 1
a 7
accurate 1
after 1
aging 1
almost 1
an 3
and 8
anyway 1
are 2
around 2
attacks 1
attitude 1
balding 1
beaten 1
been 1
before 1
but 2
case 1
conclusion 1
dead 1
death 1
detective 3
dies 1
examining 1
explores 1
farmhouse 1
focuses 1
for 1
foreign 2
fortysomethingyearold 1
fortytwoyearold 1
hansson 1
has 2
he 1
her 2
his 3
hospital 1
identity 1
immigration 1
in 1
information 1
inside 1
inspector 1
is 4
isolated 1
it 1
johannes 1
kurt 1
last 2
leads 1
leaked 1
left 1
liberal 1
like 1
lovgren 3
lunnarp 1
lvgren 1
man 1
maria 2
martinsson 1
mrs 2
murderers 1
naslund 1
national 1
ndash 2
neck 2
never 1
noose 2
of 1
old 1
on 2
one 1
peters 1
police 1
press 1
put 1
raciallymotivated 1
racism 1
regarding 1
rheumatism 1
rookie 1
rydberg 2
savagely 1
seen 1
several 1
skne 1
story 1
svedberg 1
sweden 1
taken 1
team 1
that 2
the 6
themes 1
thinks 1
thirtyyear 1
to 4
tortured 1
veteran 1
wallander 1
wife 1
with 2
word 2
ystad 1
