28826251
/m/0ddch74
/m/0ddch74
Amélie Nothomb
1993
{"/m/05hgj": "Novel"}
172 1
175 1
adoration 1
along 1
among 1
amoureux 2
an 1
and 2
as 2
author 1
based 1
becomes 1
beijing 1
children 2
china 1
communist 1
completely 1
contingent 1
damore 1
daughter 1
designating 1
din 1
diplomats 1
east 1
elaborate 1
elena 1
enemy 1
experiences 1
fashioning 1
follows 1
frle 1
from 1
game 1
german 1
goes 1
great 1
her 1
in 2
indifferent 1
infatuated 1
is 1
itsabotaggio 1
iubire 1
lengths 1
living 1
loving 1
narrator 2
nationalities 1
nlle 1
numerous 1
of 3
old 1
on 1
quickly 1
rosabotaj 1
ruthless 1
sabotage 3
sevenyear 1
spend 1
stationed 1
the 8
their 1
these 1
time 1
to 3
unsupervised 1
various 1
war 1
who 1
win 1
with 2
