2765547
/m/081cn6
/m/081cn6
Caleb Carr
2005
a 6
aboard 1
against 1
alistair 1
all 1
and 7
architect 1
are 1
assassin 1
at 2
atrocities 1
await 1
be 1
been 1
behind 1
blame 1
blood 1
bomb 1
britain 1
brutal 1
but 1
by 1
corpses 1
cruelly 1
dangers 1
david 1
deduce 1
dennis 1
discover 1
disembodied 1
dries 1
drone 1
elderly 1
en 1
end 1
fears 1
foreman 1
german 1
ghosts 1
greater 1
greed 1
had 2
have 1
his 2
holmes 3
holyroodhouse 1
holyroodthe 1
imply 1
in 2
infrequently 1
italian 1
kaiser 1
known 1
league 1
lived 1
lodges 1
mary 1
may 1
mckay 1
medieval 1
menaced 1
met 1
midst 1
monarchthe 1
motivated 1
murders 1
musical 1
mycroft 1
nationalist 1
nefarious 1
never 1
new 1
north 1
of 7
only 1
others 1
palace 1
palaceby 1
perhaps 1
plaintive 1
politically 1
pool 1
portend 1
present 1
punctured 1
queen 2
rabid 1
rather 1
recent 1
redbearded 1
rehabilitating 1
rizzio 1
route 1
royal 1
scots 2
shattered 1
sinclair 1
sir 1
slain 1
still 1
supposedly 1
tastes 1
than 1
that 3
the 7
their 1
them 1
these 1
threats 1
thrower 1
to 2
tower 1
train 1
unexpected 1
very 1
victoria 1
voice 1
watson 2
weeping 1
west 1
where 2
who 1
wing 1
with 2
woman 1
wraiths 1
wrath 1
