19645490
/m/04n0yxh
/m/04n0yxh
Vince Flynn
2000-10-31
a 15
about 2
advantage 1
after 1
afterward 1
against 1
agents 1
aka 1
albert 1
all 2
alliance 1
along 2
also 1
ambitious 1
america 1
an 2
and 25
anna 2
announces 1
answer 1
answers 2
any 2
apartment 1
are 3
argues 1
arms 1
as 2
assassin 1
assassinate 2
assassinated 1
assassins 1
assault 1
assures 1
at 1
attempt 2
awakes 1
back 2
backing 1
bad 1
be 3
becomes 1
been 2
before 1
behind 1
being 1
believes 1
betrayed 1
betraying 1
between 1
blood 1
bloodpurge 1
body 1
boss 2
bosses 1
both 2
brief 1
brown 2
bulletproof 1
but 2
by 8
calculating 1
cameron 7
can 1
career 1
caucus 1
center 1
charles 1
chest 1
cia 4
clark 6
close 1
coleman 2
colleagues 1
comes 1
commander 1
companions 1
confesses 1
confirmation 1
confronts 1
congressional 1
congressman 1
conspiracy 1
contacts 1
contract 1
corrupt 1
count 1
counter 1
country 1
coup 1
cover 1
ctc 1
dc 1
dead 2
dealer 1
death 1
demands 2
democratic 2
denial 1
deputy 1
director 5
discourse 1
dispatches 1
do 2
donatella 1
down 1
dr 5
drawn 1
dtat 1
dying 1
eliminate 1
embarrass 1
employer 1
enemies 1
escapes 1
even 1
eventually 3
everything 1
evidence 1
executed 1
eye 1
failed 1
few 2
find 1
fire 1
fired 1
flees 1
floor 1
fooled 1
for 3
forensic 1
found 2
france 1
friend 2
from 1
further 1
gathers 1
germany 2
girlfriend 1
give 1
group 1
gun 1
had 1
hagenmiller 2
hank 1
has 4
hates 1
hayes 1
he 9
heinrich 1
henry 1
her 3
hides 1
highly 1
him 9
hired 1
his 16
hit 3
hoffman 1
hoffmans 2
home 1
hoping 1
house 1
however 1
hussein 1
identity 1
implicate 1
in 12
initiate 1
injury 1
involvement 1
irene 2
is 12
it 5
italian 1
jane 2
jansens 1
jonathan 1
kennedy 6
kidnapped 2
kill 2
killed 2
killers 1
killing 1
know 2
knowing 1
known 1
lambastes 1
learns 3
leave 3
led 1
left 2
life 1
location 1
main 1
make 1
makes 1
many 1
may 1
meetings 1
men 3
middleton 5
mission 2
mitch 1
moments 1
movers 1
named 1
never 1
nomination 1
northern 1
not 4
nothing 2
now 1
of 16
officials 1
on 8
one 3
only 2
order 2
ordered 4
other 2
out 1
outside 1
own 1
paper 1
party 1
person 1
peter 1
phone 1
plans 1
pledges 1
politicians 1
pool 1
possible 1
power 1
powerful 1
presidency 1
president 4
pretends 1
process 2
professor 1
proof 1
quickly 5
rahn 1
rapp 16
reaches 1
realize 1
refuses 1
reilly 1
republican 1
rescue 1
retired 1
returns 1
robert 1
room 2
rudin 5
ruin 1
ruled 1
saddam 1
scene 1
scott 1
seal 1
secretary 2
selling 1
senator 1
sensitive 1
sent 1
separate 1
set 1
sets 1
shocked 2
shooting 1
shortly 1
shot 1
should 1
shut 1
situation 3
six 1
slays 1
small 1
so 1
soon 1
stages 1
stansfield 3
state 2
states 1
stop 1
succeeding 1
successfully 1
suicide 1
summons 1
talking 1
team 1
tell 1
terrorism 1
that 16
the 46
their 3
them 2
then 2
they 3
thomas 2
thoughts 1
through 1
to 27
told 1
tom 2
trail 1
trap 1
trying 1
twice 1
two 2
unbeknownst 1
united 1
unless 1
up 1
us 1
use 1
useful 1
v 1
vest 1
wanting 1
was 6
washington 2
weapons 1
wearing 1
while 1
who 6
widespread 1
will 3
with 7
within 1
without 1
world 1
would 1
xavier 1
