6592621
/m/0gczj_
/m/0gczj_
Ben Jonson

a 28
about 1
absence 1
accepts 1
accidentally 1
accompanied 1
acts 1
addition 1
advice 1
after 1
again 3
agree 1
aid 1
alchemy 1
all 1
also 2
ambition 1
ambitions 1
an 3
anabaptist 1
anabaptists 3
ananias 2
and 43
angry 1
any 1
apart 1
appropriate 1
are 5
argument 1
arrived 1
arrives 1
as 5
asks 1
audiences 1
back 1
base 1
be 1
because 1
become 2
been 4
being 2
believe 2
believes 1
between 1
blindfolded 1
both 2
breaks 1
bring 1
brings 3
brother 3
building 1
business 1
but 5
butler 1
by 2
can 1
cannot 1
captain 1
captivates 1
chance 1
charge 1
chewed 1
claimed 1
claiming 1
clerk 1
come 3
common 1
compliments 1
concerning 1
confessed 1
conman 1
consequence 1
continue 1
contrives 2
costume 2
countess 1
country 1
cry 1
customer 1
dame 4
dapper 6
debunker 1
delivers 1
demands 1
denounces 1
depart 1
departs 1
desire 1
disconsolately 1
disguised 1
dismissed 1
division 1
dol 10
drugger 8
during 1
elsewhere 1
empty 1
engaged 1
english 1
enlists 1
epicure 1
establish 1
explains 1
explosion 1
expressing 1
extravagant 1
face 10
fact 1
fairy 4
false 1
familiar 1
favour 1
favourably 1
fellow 1
fetch 1
fiction 1
find 2
first 1
fit 1
flee 2
for 6
forces 1
forgiveness 1
fraudulent 1
from 3
furious 1
gag 1
gagged 1
gain 1
gambling 1
gather 1
gentleman 1
get 1
given 4
go 2
going 1
gold 2
gone 1
goods 3
greed 1
gull 1
handed 1
happily 1
has 12
hastily 1
have 6
he 18
headquarters 1
help 3
her 5
him 7
himself 4
his 16
hopes 1
house 4
however 1
huge 1
humiliating 1
humiliations 1
hunting 1
idea 1
identity 2
ie 1
if 3
in 10
ingenuity 1
inspiration 1
insult 1
interrogates 1
into 4
introduced 1
is 29
it 2
jeremy 4
kastril 7
keen 1
kept 1
laboratory 1
ladys 1
lawyer 1
leaves 1
leaving 1
lesson 1
locked 1
london 2
longer 1
look 1
lords 1
lovewit 7
ludicrous 1
mad 1
madness 1
maintain 1
mammon 10
mammons 1
marriage 2
married 1
master 1
matchmaker 1
material 1
may 1
meet 1
meets 1
member 1
metal 1
might 1
more 1
must 2
necromantic 1
need 1
neighbours 1
news 2
no 2
nobleman 3
not 1
now 1
obtain 1
of 18
off 2
officers 1
on 6
opens 1
opportunity 1
or 2
order 1
out 1
outbreak 1
over 1
pair 1
pardons 1
parson 1
pay 1
payment 1
pays 2
persuaded 1
philosopher 2
plague 2
plausible 1
play 1
pliant 4
privy 2
profitable 1
promised 3
promises 1
prostitute 1
puritan 1
put 1
quarrel 1
quarrelling 1
queen 3
quick 1
reappearance 1
reasons 1
reluctant 1
retreats 1
return 4
returned 1
returns 3
reveals 2
rich 2
riches 1
rid 1
rituals 1
rushed 1
second 1
sect 1
secure 1
seek 1
sees 1
senior 1
sent 1
servant 1
set 1
setting 1
shall 1
she 3
shop 1
should 1
sir 1
sister 4
sisters 1
skeptic 1
skilled 1
skills 1
so 1
sole 1
soon 1
spaniard 1
spanish 4
speaks 1
spirit 1
spiritual 1
stone 2
subject 1
subjected 1
subtle 12
succeed 1
succession 1
suffering 1
suggest 1
summarily 1
summon 1
supposed 1
surly 9
suspects 1
team 1
tells 1
temporarily 1
that 18
the 47
their 3
them 2
there 3
these 1
they 6
thief 1
this 1
through 1
thrust 1
to 38
tobacconist 1
told 4
transforms 1
transmuted 1
tribute 1
tricksters 1
tripartite 1
true 2
turn 1
under 1
understand 1
up 2
use 2
uses 1
using 1
victims 1
vigorously 1
violent 1
visitors 1
way 1
wealth 1
wealthy 1
what 1
which 2
who 8
whole 1
widow 7
will 5
win 2
wishes 1
with 8
woman 1
work 1
young 1
