33690592
/m/0hhtm3q
/m/0hhtm3q
Robert Low

{"/m/02p0szs": "Historical fiction"}
a 3
and 2
around 2
as 1
attempting 1
band 2
by 1
centres 1
child 2
claim 1
combined 1
crew 1
current 1
eirik 1
enemy 1
forces 1
from 1
heir 1
himself 1
is 2
joined 1
king 1
leader 1
man 1
nephew 1
novel 1
now 1
oathsworn 1
of 3
old 1
orm 1
pregnant 1
protect 1
queen 1
reluctant 1
revolves 1
ridding 1
rurikson 1
seeking 1
sigrith 2
sterki 1
story 1
styrbjorn 1
the 7
their 2
this 1
throne 1
to 3
viking 1
who 2
young 1
