13372836
/m/03c3698
/m/03c3698
Marina Lewycka
2007-03-29

a 11
across 2
africa 1
all 3
also 1
and 12
arcadia 1
are 5
arrive 1
better 2
boss 1
breadth 1
but 1
by 2
called 1
car 1
caravan 2
caravans 1
centres 1
charms 1
china 1
come 2
comes 1
continents 1
course 1
cozy 1
crew 2
delivery 1
different 1
discreet 1
dog 2
down 1
dreams 1
eastern 1
end 1
england 3
english 1
equally 1
europe 1
evening 1
everyone 1
except 1
exchange 1
extra 1
farmer 2
favors 1
field 1
find 1
flee 1
for 5
forced 1
from 2
future 1
group 1
hail 1
harmonious 1
harvest 1
have 2
her 2
him 3
homes 1
illegally 1
in 7
into 1
is 1
it 1
journey 2
kent 1
leaping 1
leapish 1
leave 1
legally 1
length 1
life 1
little 1
living 1
looking 1
love 1
malaysia 1
man 1
men 1
migrant 3
named 1
of 9
off 1
on 3
one 1
piled 1
police 1
polish 1
pursuit 1
quickly 1
red 1
redfaced 1
retaliation 1
runs 1
seeking 1
setting 1
she 1
side 1
small 1
some 2
something 1
sports 1
story 1
strawberries 1
strawberry 1
supermarkets 1
supervised 1
the 13
their 4
they 3
theyve 1
this 1
three 1
thus 1
time 1
to 6
trailer 1
treats 1
two 2
until 1
up 1
upon 1
vale 1
various 1
ways 1
when 1
who 3
wife 1
with 1
woman 1
women 1
workers 3
yola 2
