3394973
/m/0999k7
/m/0999k7
Pierre Christin
1972
4000 1
a 28
ablebodied 1
about 1
accompany 1
activities 1
administering 1
admits 1
again 1
agree 2
aircraft 1
alarms 1
alflolol 1
alflololian 3
alflololians 15
algol 9
alien 4
aliens 1
all 4
allowed 2
alone 1
ambassadors 1
an 4
ancestor 1
and 49
appears 1
appreciated 1
are 12
area 1
argol 5
around 1
arrangement 1
arrive 1
arrived 1
arrives 2
arriving 2
as 9
asleep 2
asteroid 1
asteroids 1
astroship 4
at 5
atomic 1
attack 1
attacks 1
attempt 1
automatic 1
await 1
away 3
back 4
badly 1
be 9
beast 2
because 1
becomes 1
been 6
before 3
begin 1
begins 1
behaviour 1
belongs 1
below 2
belt 1
best 1
biology 1
bit 1
blow 1
blue 1
boat 2
borne 1
bounces 1
bring 4
brink 2
broken 2
built 1
but 5
by 4
call 1
called 2
came 1
camp 2
campsite 1
can 3
cannot 1
capital 1
cataleptic 2
catastrophe 1
cause 1
causing 1
celebrating 1
celebrations 1
centre 1
chaos 1
charge 1
chase 1
checking 1
choice 2
chosen 1
city 2
claim 1
clear 1
close 1
colony 1
colourful 1
come 3
complete 1
complies 1
comply 1
condition 1
contacts 1
contaminated 1
control 2
convinces 1
cooperate 1
corridor 1
could 1
council 4
crackles 1
creature 2
creatures 1
cry 1
cure 1
cures 1
cut 1
damage 2
damaged 1
darkness 1
daughter 2
days 4
decision 1
delight 1
delighted 1
demand 1
demanding 1
departed 1
departing 1
desert 3
deserted 1
despair 1
destroyed 1
devastation 1
discover 3
discovered 2
discovers 3
dismayed 1
dismissed 1
doesnt 2
doing 1
door 1
down 1
drag 1
drags 1
draws 1
drilling 1
drink 1
due 1
dumbfounded 1
earth 2
eat 1
edge 1
edible 1
enough 1
enraged 1
entering 1
enveloped 1
environment 1
equipment 2
estimates 1
even 1
eventually 1
everyone 1
exact 1
exhausted 1
expedition 1
explains 4
exploring 1
extraction 3
factories 5
factory 2
fall 2
fallen 2
falling 1
families 1
family 6
farewells 1
fed 1
finally 2
find 3
finds 3
finish 1
fire 3
first 1
flame 1
flies 1
floats 1
flotilla 1
flowers 2
fly 1
flying 1
following 2
follows 1
food 2
foodaid 1
foodstuffs 1
for 8
forced 1
found 1
