26949368
/m/0bmgbhd
/m/0bmgbhd
Tom Angleberger
2010
3 1
a 5
academy 2
advice 2
after 1
also 1
amazoncom 1
an 2
and 3
appear 1
are 2
as 3
at 2
attending 1
back 1
be 2
become 1
below 1
book 4
both 1
by 1
chewbacca 2
chewie 1
darth 1
days 1
dwight 3
dwighta 1
either 1
ewok 2
few 1
finally 1
fitting 1
foldo 1
form 1
fortune 1
fortuneteller 1
friend 1
friends 1
from 1
gets 2
gift 1
girls 1
give 2
good 1
greatness 1
guest 2
han 2
hands 1
happened 1
has 2
help 1
his 3
human 1
if 1
in 9
into 1
is 3
it 3
its 3
just 2
kids 1
kooky 1
lies 1
listed 1
little 1
mcquarrie 3
meantime 1
middle 3
navigate 1
new 1
normal 2
of 6
old 1
on 1
or 1
origami 4
ownno 1
oy3 1
paper 2
partner 1
place 1
plot 1
preoccupied 1
quoted 1
remind 1
revealed 1
romance 1
sara 1
says 1
school 3
schools 1
seems 2
semester 1
she 1
solo 1
star 1
stars 1
strikes 1
takes 1
that 2
thats 1
the 14
their 2
them 1
then 1
this 1
timeframe 1
tippett 3
to 5
too 2
treacherous 1
unimaginable 1
up 1
waters 1
weirdness 1
well 1
who 1
wicket 2
will 1
with 3
wookiee 1
yoda 1
yodaseven 1
