1469703
/m/053_yp
/m/053_yp
Ken Wilber

{"/m/02xlf": "Fiction"}
a 3
an 2
and 2
another 1
are 1
artificial 1
at 1
attends 1
believes 1
brilliant 1
called 1
center 1
character 1
chloe 1
consciousness 1
cyberspace 1
departure 1
descriptions 1
evolution 2
existence 1
expansive 1
explicit 1
fantasies 1
for 1
from 1
future 1
guides 1
him 1
human 2
includes 1
institute 1
institution 1
integral 2
intelligence 2
interposed 1
is 1
ken 4
lectures 2
life 1
meatspace 1
merging 1
mit 1
more 1
obvious 1
of 6
or 1
physical 1
protagonist 1
real 1
realm 1
series 1
sexual 1
standin 1
student 1
studying 1
that 1
the 7
these 1
towards 1
transhuman 1
understanding 1
which 1
wilber 1
with 3
