9055399
/m/027w0cv
/m/027w0cv
Thomas Mann
1951
17 1
a 25
abbot 4
ability 1
able 1
above 1
absurd 1
accepts 1
accord 1
accurate 1
act 1
adopted 1
adrift 1
advice 1
affections 1
after 5
afterwards 1
ago 1
agonia 1
agrees 1
alleviate 1
alliance 1
also 1
among 1
an 2
and 36
announcing 2
another 1
are 2
arrival 2
as 11
ask 1
assumes 2
astounded 1
at 4
atoning 1
attracted 1
author 1
aware 2
back 2
balancing 1
baser 1
basically 1
bear 1
become 2
becomes 2
before 1
begins 1
behavior 1
bells 3
between 1
bishops 2
blankly 1
bleeding 1
blessing 1
book 2
born 2
both 1
brother 6
brothers 1
by 9
can 1
care 1
carrying 1
catholic 1
cell 1
champion 1
channel 1
child 4
children 1
christendom 1
christened 1
christianity 2
church 2
city 3
clemens 3
closes 1
common 1
confess 1
considering 1
continent 1
coronation 1
counsellor 1
couple 1
crusade 1
csvyvolen 1
daughter 3
death 1
decide 2
decided 1
deder 1
defeats 1
define 1
dei 1
detectable 1
devotes 1
direct 1
discover 1
dismayed 1
dispute 1
distrusting 1
do 1
done 2
duke 3
each 1
easy 1
eisengrein 3
elements 1
else 1
end 1
english 1
ensued 1
erwhlte 1
even 2
events 2
every 1
existent 1
expunging 1
fact 1
faith 1
father 1
feel 1
find 2
finds 2
first 1
fisherman 2
fishermen 3
fistfight 1
flanders 1
fondness 1
for 8
force 1
forge 1
forgive 1
forgiveness 1
form 2
found 1
freely 1
from 2
further 1
gets 1
gives 1
goes 3
gregory 20
grimald 1
grown 1
guilt 1
hand 1
handsome 1
has 3
have 3
he 7
hedgehog 1
her 8
hermit 1
him 6
his 17
history 1
holy 1
how 1
hua 1
humanist 1
ideas 1
ie 1
if 2
illustrate 1
immediately 1
importance 1
in 19
incorrect 1
increasingly 1
infant 4
instantly 1
instructive 1
instructs 1
intentionalfake 1
intercepted 1
into 3
introduces 1
is 16
island 1
it 5
itleletto 1
itself 1
jilted 1
join 1
joseph 1
journey 1
judge 1
kept 1
killed 1
kingdom 1
kivlasztott 1
knight 1
lake 2
lamb 2
later 4
learns 3
led 1
lepers 1
life 4
live 1
living 2
long 1
look 1
looks 1
lovers 1
loyal 1
lucidly 1
made 2
man 3
mann 3
many 2
marriage 1
married 1
marry 2
may 1
means 2
medieval 2
medium 1
meeting 1
messina 1
middle 1
might 1
military 1
miraculously 1
modern 2
monastery 2
monk 2
month 1
moral 1
morality 1
most 1
mother 7
motherwife 1
moved 1
must 1
named 1
narrator 1
natures 1
neighboring 1
newborn 1
next 2
no 1
north 1
not 1
nothing 1
of 36
offering 1
offers 1
often 1
on 6
one 4
only 1
opinion 1
opposite 1
order 2
origins 1
out 7
over 1
overreach 1
own 4
pardon 2
parents 1
pass 1
pay 1
penance 1
perishes 1
place 1
placed 1
point 2
pontiff 1
pope 4
popes 1
possession 1
presence 1
pressing 1
priest 1
promontory 1
proposal 1
raft 5
raise 1
reaches 1
reaction 1
reader 3
reads 1
realization 1
realizes 2
recognizing 1
refuses 1
regarded 1
remain 1
resolves 1
resort 1
rest 1
restored 1
retelling 1
return 1
revelation 1
ring 1
ringing 2
rise 1
rock 1
rocky 1
roman 1
rome 5
sarcastic 1
savior 1
sea 1
second 1
secret 1
seek 1
set 3
sets 2
seventeen 2
several 1
severe 1
shame 1
she 3
shore 1
short 1
should 1
shows 1
shrunken 1
sibylla 9
sinful 1
sinners 1
sins 1
sister 3
sisters 1
size 1
so 1
son 2
sonhusband 1
spirit 1
spurns 1
state 1
still 1
story 2
storytellers 1
storytelling 1
stunned 1
succession 1
suffering 1
suggests 2
suicide 1
suitor 2
sum 2
tablet 4
take 3
takes 2
teach 1
term 1
tetrology 1
text 1
that 14
the 98
their 7
them 2
themes 1
then 1
there 1
therefore 1
these 1
they 11
this 4
thomas 2
though 2
through 1
throughout 2
time 1
to 29
trickery 1
turn 1
two 6
unbeknownst 1
understands 1
unfortunately 1
up 3
upon 1
used 1
variate 1
vision 1
visited 1
war 1
was 1
were 4
what 2
where 3
which 3
widower 1
wildly 1
wiligis 5
will 2
wisest 1
wishes 1
with 7
within 4
without 1
wooing 1
works 1
years 5
young 3
younger 3
