7386904
/m/0260447
/m/0260447
Anthony Powell
1964
140 1
a 7
account 1
adapted 1
affair 1
alcoholic 1
aldershot 2
all 1
also 1
an 2
and 5
anthony 1
are 2
as 1
at 5
barmaid 1
battalion 1
battle 1
be 1
bithel 2
brent 1
budd 1
by 2
cancelled 1
captain 1
castlemallock 1
commanding 1
consent 1
course 1
daag 1
david 1
disastrously 1
divisional 1
during 1
early 1
en 1
engaged 1
exercise 1
finds 1
for 1
frederica 1
friends 1
from 1
general 1
gives 2
gwatkin 3
has 1
his 5
hit 1
house 1
hq 1
in 5
inspection 1
instructed 1
instructions 1
introduced 1
ireland 1
is 4
isobel 1
jean 1
jenkins 3
jimmy 1
joins 1
leave 2
liddament 1
lieutenant 2
lift 1
made 1
makes 1
material 1
meanwhile 1
meets 1
moved 1
muddles 1
nick 3
northern 1
odo 1
of 1
officer 1
officious 1
on 1
out 1
part 1
passion 1
pennistone 1
powell 1
preposterous 1
priscilla 2
published 1
regiment 2
rejoining 1
report 1
robert 2
route 1
running 1
second 1
snap 1
society 1
spend 1
staying 1
stevens 3
suddenly 1
the 6
there 1
to 7
tolland 2
training 1
turns 1
unrequited 1
wales 1
we 1
weekend 1
where 2
who 2
widmerpool 1
wife 1
with 5
