9695498
/m/02ppdzp
/m/02ppdzp
Frank Schätzing
2004
{"/m/017rf8": "Techno-thriller", "/m/06n90": "Science Fiction"}
a 24
accept 1
addition 1
adviser 1
affected 1
after 2
again 1
agency 1
all 1
allow 1
also 2
american 1
an 9
analyze 1
anawak 2
and 28
announces 1
any 1
appear 1
approach 1
are 15
around 1
asked 1
at 4
attack 2
attacked 3
attacks 6
attempt 1
bacteria 1
be 3
because 1
become 1
becomes 2
been 2
behavior 2
biologist 1
birthright 1
boats 2
book 2
boston 1
briefly 1
by 11
called 1
calls 1
cannot 1
capsize 1
carrier 1
caused 1
causes 2
cease 2
ceased 1
change 1
chaos 1
characters 1
cities 1
city 1
civilization 1
clathrate 1
clear 2
climate 1
close 2
coast 2
coastal 1
coasts 1
collapses 1
colleagues 1
collective 1
coming 1
commercial 2
company 1
completely 2
computer 1
conclusion 1
conflict 2
contact 2
containing 1
contaminated 1
continental 2
continue 1
controlled 1
crabs 1
created 1
crippled 1
damaging 1
dc 1
dead 1
deaths 1
depth 1
depths 1
described 1
destabilizing 1
destroy 2
destroyed 1
detonate 1
devastating 1
difficult 1
disagrees 1
discover 1
dives 1
dna 1
do 1
dominance 1
drifting 1
driven 1
during 1
each 1
earth 3
east 1
ecosystem 1
eliminate 1
elimination 1
emotional 1
ensemble 1
ensues 1
epidemic 3
epilogue 1
eradicate 1
event 1
events 4
everwatching 1
exist 1
existed 1
expeditions 1
faces 1
final 1
finally 1
find 1
finds 1
first 1
follow 1
follows 1
for 3
force 4
form 1
france 1
freak 1
freighter 1
friend 1
from 4
full 1
general 3
get 1
gives 2
global 1
globe 1
goal 1
godgiven 1
group 1
groups 2
gulf 1
has 5
have 5
he 5
helicopter 1
hence 1
her 1
highly 1
his 4
hits 1
hivemind 1
hold 1
homeland 1
honest 1
hoping 1
how 2
however 2
human 5
humanity 4
humans 1
humpback 1
hundreds 1
hypothesis 1
illustrate 1
implement 1
in 13
incapacitated 1
incident 1
independence 2
individual 1
industry 1
infrastructure 1
inheritable 1
initiate 1
intelligence 1
intelligent 1
intentional 1
international 1
into 3
investigate 1
investigates 1
investigating 2
is 14
it 3
jellyfish 1
job 1
johanson 7
journalist 1
judith 1
karen 1
kill 2
killed 2
killing 1
knowledge 1
landslide 1
large 1
last 2
later 2
lead 1
led 1
leon 1
lethal 1
letters 1
li 6
lieutenant 1
life 1
lifeform 1
limited 1
lobsters 1
logical 1
make 2
makes 1
manages 1
manipulating 1
mankind 2
marine 2
maritime 3
may 4
meeting 1
memories 1
methane 1
midget 1
millions 3
minor 1
modified 2
moment 1
most 2
mussels 1
natural 2
new 2
north 2
norwegian 2
not 4
novel 1
now 1
number 1
observations 1
occasionally 1
oceans 4
of 29
on 8
one 1
only 3
operate 1
or 1
orcas 1
orders 1
organisms 1
other 2
out 1
outbreak 1
outside 1
over 1
overrun 1
own 2
part 2
particular 1
parts 2
passed 1
people 1
pfiesteria 1
pfiesteriainfested 1
phenomena 1
phenomenon 2
pheromone 4
plan 1
plot 1
plunged 1
power 2
president 1
protagonists 3
pumped 1
race 2
races 1
randomly 1
rather 1
rebuilding 1
recognize 1
recovering 1
regions 1
related 2
releases 1
religious 1
renders 1
response 1
returns 1
reveals 1
risk 1
same 2
save 1
science 1
scientific 2
scientist 1
scientists 4
sea 3
seaborne 1
seemed 1
sees 1
sent 1
sentient 1
session 1
several 3
severely 1
sharks 1
she 4
shelf 1
ship 2
ships 1
showdown 1
sigur 3
since 1
single 1
singlecell 1
sinking 1
slope 1
small 1
society 1
some 1
sometimes 1
species 2
specific 1
startling 1
states 3
still 2
stop 1
stopped 1
stream 1
submarine 1
submarines 1
subplots 1
subterranean 1
success 1
suffer 1
superpower 1
surviving 1
swarm 1
swarms 1
swimmers 1
take 2
task 5
technology 1
than 1
that 17
the 91
their 5
them 3
then 2
there 1
they 1
this 3
those 1
threat 1
threaten 1
three 1
thus 1
time 2
title 1
to 24
together 2
torpedoes 2
tourists 1
trigger 1
trondheim 1
trying 1
tsunami 1
two 1
type 1
typed 1
under 2
unfold 1
uninhabitable 1
united 2
university 1
unknown 1
unrelated 1
unwilling 1
us 1
using 1
uss 1
variety 1
venomous 1
wane 1
washington 1
watcher 1
watching 2
water 1
ways 1
weaver 1
whale 2
whales 5
what 1
when 3
where 1
which 1
while 3
who 3
will 2
with 8
without 1
witnessed 1
witnesses 1
work 1
working 2
works 2
world 2
worldwide 1
worms 2
would 1
year 1
years 1
york 1
yrr 13
