4511023
/m/0c69rv
/m/0c69rv
Jan Guillou
1981
150s 1
a 14
abide 1
about 1
abroad 1
abuse 3
action 1
activities 1
adults 1
advantage 1
afraid 1
after 1
against 1
aid 1
all 1
allowed 1
alone 2
although 1
an 1
and 31
anymore 1
are 2
around 2
as 4
at 5
attempt 1
away 1
barring 1
basic 1
beat 2
beating 1
beats 2
because 2
before 1
begins 3
behavior 1
being 1
below 1
betrayed 1
boarding 1
boss 1
both 1
boy 1
breaking 1
breaks 1
broken 1
brother 1
buckets 1
but 3
by 3
chairman 1
championship 1
chief 1
city 1
class 2
cold 1
comes 2
compulsively 1
conduct 1
confiscation 1
cook 1
could 1
council 1
criminal 1
crying 1
day 1
deal 1
determined 1
develops 1
dinner 1
directed 1
discussions 1
disguise 1
doesnt 1
down 2
education 1
ekengren 1
erik 10
escalating 1
especially 1
every 2
everyone 1
evil 1
excels 1
exclusive 1
expelled 4
expensive 1
face 1
family 1
fastest 1
father 3
favored 1
feces 1
feeling 1
fighting 1
finds 1
finish 1
finishing 1
finland 1
fired 1
first 1
follow 1
for 2
forbidden 1
fourteen 1
friend 1
friends 1
from 4
frustrations 1
full 1
gang 3
gargantuan 1
goals 1
grade 1
grades 1
ground 1
grounds 1
habit 1
half 2
hand 1
have 1
he 14
her 1
highest 1
him 11
himself 1
his 16
hit 1
hold 1
home 3
hysteric 1
if 1
importance 1
in 9
indepth 1
influential 1
into 1
is 6
it 1
kids 1
knew 1
last 2
lawyer 1
lays 1
leader 1
leads 1
leaves 1
legal 1
lends 1
letter 1
life 2
lives 1
living 1
love 1
lower 1
lowest 1
mail 1
make 3
marja 2
methods 1
middle 1
most 1
mother 1
mouthy 1
mr 1
nature 1
need 1
new 2
night 2
nose 2
noses 1
not 1
now 1
obsessively 1
occasions 1
of 22
old 2
on 3
orders 1
other 1
otto 1
out 2
outside 1
over 2
panicked 1
peace 1
pierre 2
pity 1
ponti 1
position 1
possible 2
preemptively 1
prepared 1
principal 2
prospect 1
protest 1
psychological 1
punch 1
punish 1
ran 1
random 1
rebel 1
relationship 2
relative 1
resistance 1
responsible 1
returns 1
roommate 1
sadistic 1
savonia 1
scaring 1
school 11
scored 1
seemingly 1
semester 1
sends 1
senior 2
sent 1
several 1
silverhjelm 1
six 1
soaking 1
spending 1
spends 1
spiral 1
stalking 1
stepfather 1
stjrnsberg 1
stockholm 2
stop 1
strength 1
student 3
students 3
subjects 1
summer 1
superior 1
surprisingly 1
surrenders 1
suspicions 1
swimming 2
sympathy 1
systematically 1
take 1
takes 1
taking 1
teachers 2
team 1
teeth 1
that 2
the 37
their 1
them 2
those 4
thought 1
threatens 1
threats 1
thrown 2
tied 1
time 1
to 16
top 1
tormentor 1
towards 1
tracking 1
traditions 1
trophy 1
tumbling 1
unable 1
under 1
unwitting 1
uses 1
uttered 1
vent 1
violence 3
vomiting 1
was 1
weightlifting 1
wet 1
when 3
which 2
while 1
who 3
wins 1
winter 2
with 7
without 1
woods 2
working 1
year 2
zealous 1
