7831895
/m/026fm41
/m/026fm41
André Franquin
1960
a 4
act 1
acting 1
along 1
an 3
and 5
antarctic 1
arrive 1
atomic 1
au 1
back 1
be 1
believed 1
benevolent 1
big 2
biologist 1
bout 1
but 1
causing 1
champignac 3
changes 1
closest 1
coffee 1
concoctions 1
continues 1
control 1
cooling 1
count 3
cup 1
develop 1
dinosaur 2
du 1
due 1
egg 2
era 1
evil 1
expedition 1
fantasio 2
fil 1
freeroaming 1
friends 1
from 6
genius 1
hands 1
has 1
hatch 1
he 1
him 1
his 2
ice 1
in 4
incident 1
included 1
intact 1
interference 1
into 1
inversed 1
is 2
its 1
jurassic 1
la 1
lost 1
marsupilami 1
mesozoic 1
mistakes 1
moment 1
mushrooms 1
must 1
new 1
of 5
on 1
out 1
period 1
personality 1
peur 1
plan 1
problem 1
proceed 1
professor 1
protect 1
pure 1
residue 1
returns 1
science 1
sensationally 1
soon 1
sorts 1
spirou 1
sprtschk 1
story 1
terrorist 1
the 13
this 1
thoughtless 1
to 7
toxic 1
traveller 1
truck 1
undergo 1
unlikely 1
unpleasant 1
usually 1
village 2
ways 1
with 4
x4 1
