9420578
/m/028847n
/m/028847n
Carole Wilkinson
2005-09
1 1
2 1
a 8
actually 1
after 1
against 1
agree 1
aid 1
all 1
already 1
also 1
and 20
any 1
are 2
as 3
asks 1
attempts 1
away 1
baby 1
back 2
be 3
become 1
becomes 1
begins 1
begun 1
black 1
bleeding 1
body 1
bowl 1
bucket 1
but 4
by 3
call 1
can 1
captured 1
chapter 2
charges 1
che 2
china 1
come 2
convinces 1
day 1
defeat 1
destination 1
do 2
dong 4
dragon 5
dragonkeeper 2
drops 1
duel 1
duke 1
during 1
emperor 4
escape 2
escapes 1
eventually 1
fake 1
family 2
fang 4
fatso 1
final 1
find 2
firstly 1
flee 1
for 2
found 2
free 1
friend 1
friends 1
go 2
goat 1
guards 1
had 2
happily 1
he 1
her 5
him 2
his 2
hold 1
hopes 1
how 1
however 1
hua 5
imperial 1
in 4
instead 1
instructed 1
into 2
is 12
it 1
its 1
jealous 1
jun 5
kai 14
keeper 2
keepers 1
kill 2
killed 1
kunlun 1
ladle 2
later 2
league 1
learn 1
learns 1
let 1
liu 2
living 2
meets 1
mountain 1
mountains 1
nearly 1
necromancer 5
newfound 1
next 1
not 1
now 1
of 5
off 2
on 2
one 1
orders 1
other 2
over 1
palace 2
phoenix 1
ping 17
pool 1
position 1
powers 1
prefer 1
princess 4
raise 1
rats 1
read 1
red 1
returns 1
reveals 1
run 1
sacrifice 1
sacrificed 1
sadly 1
says 1
search 2
seems 1
shan 1
shapechange 1
she 5
sight 1
since 1
slit 1
so 1
soup 1
stays 1
stinking 1
stripped 1
suo 4
survives 1
tai 1
taken 3
takes 1
teach 1
that 1
the 21
their 1
them 2
there 1
they 5
though 1
throat 1
to 22
told 1
top 1
trying 1
turns 1
two 3
unable 1
until 1
uses 1
village 1
warn 1
was 1
when 1
while 2
who 4
with 6
without 1
write 1
yangxin 3
