7139643
/m/0h69y5
/m/0h69y5
Gary Paulsen
1998
13year 1
a 15
about 2
actually 1
after 3
alien 1
also 2
an 2
and 9
apparently 1
army 2
asks 1
attack 1
attacks 1
away 1
beam 2
become 1
begins 1
behind 1
believes 1
between 1
blue 1
bottle 1
boulder 2
brings 1
brother 1
but 1
by 4
called 1
camp 1
charge 1
chief 1
civilization 1
cocacola 1
contagious 1
creature 1
creatures 1
cure 1
dark 1
daughter 1
despite 1
develops 1
discovers 2
each 1
earlier 1
earth 2
ebola 2
enslaved 1
enthusiast 1
entry 1
escaping 1
events 1
exploring 1
feelings 1
feet 1
find 1
finds 1
flees 1
for 3
forcing 1
forest 1
forgets 1
form 1
freedom 1
from 1
future 2
gives 1
granted 1
harrison 1
has 2
he 13
hears 1
hides 1
highly 1
hiking 1
him 2
his 4
home 1
however 1
howling 1
human 1
humanlike 1
impending 1
in 4
interact 1
into 2
is 6
jungle 2
just 1
kills 1
land 1
language 1
later 1
leader 1
leads 1
learns 1
light 2
lightning 1
live 1
magruder 1
many 1
mark 10
marry 1
megaan 3
merkon 4
metalweapon 1
misconceptions 1
missile 1
months 1
most 1
mountainous 1
mysterious 1
new 1
next 1
normal 1
nuclear 1
of 7
off 2
official 1
old 1
olivecolored 1
on 1
once 1
other 1
out 1
over 2
party 1
protect 1
protection 1
race 2
range 1
remaining 1
returns 1
revealing 1
reveals 1
revenge 1
scientist 1
scouting 1
sends 1
sent 1
severely 1
shard 1
short 1
similarities 1
skills 1
skin 1
some 1
son 1
soon 1
start 1
story 1
strange 2
struck 2
suddenly 1
survival 2
swordfight 1
sworn 1
systematically 1
that 4
the 25
their 2
them 2
then 1
there 1
thing 1
this 2
those 1
though 1
three 1
through 1
time 2
tirelessly 1
to 9
too 2
transall 1
tribe 2
tsook 1
twenty 1
up 1
used 1
uses 1
village 1
virus 2
wakes 1
warlike 1
warn 1
was 1
weapons 1
webbed 1
when 2
which 1
while 1
wielding 1
wiped 1
with 4
working 1
world 3
wounding 1
years 1
