26684695
/m/0bmbqrp
/m/0bmbqrp
Gerald Brom


a 7
abused 1
adventures 1
affected 1
against 1
alive 1
all 1
allow 1
allowed 1
alongside 1
also 1
always 1
amazingly 1
among 1
an 1
and 17
any 1
apparent 1
are 2
arrived 2
as 1
at 2
attraction 1
avalon 12
back 2
barghest 1
beasts 1
became 1
before 2
befriends 1
begins 1
begun 1
being 1
between 1
birth 1
black 1
blood 1
both 1
boy 1
british 1
brom 1
by 4
celtic 1
characters 1
charming 1
child 2
children 8
clan 1
clash 1
climax 1
coming 1
consent 1
creatures 3
death 1
delegation 1
describes 1
devils 1
deviltree 4
die 2
different 1
eaters 6
eating 1
elves 1
enchanted 1
enter 1
ever 1
evil 1
eyed 1
faeries 1
fast 1
favorite 1
fighting 2
final 3
first 2
fled 1
flesh 6
following 1
follows 1
for 5
force 1
forces 1
forever 1
forgotten 1
free 1
from 4
gates 1
glorious 1
go 2
golden 1
greeted 1
grew 1
grown 1
he 2
heart 1
heir 1
her 3
hid 2
him 1
his 2
history 1
holed 1
home 1
honed 1
horned 1
horrifying 1
horrors 1
however 1
human 1
humans 4
i 1
in 14
including 1
instead 1
into 5
is 3
island 1
isle 1
isles 1
its 2
keep 1
keeping 1
keeps 1
kept 1
kill 1
killed 1
lady 6
land 2
last 1
leave 2
leaving 1
left 1
liberal 1
likewise 1
lives 1
living 1
looking 1
lord 2
magic 3
magical 2
makes 1
malicious 1
many 2
meeting 1
might 2
mist 7
monsters 2
more 3
must 1
mythology 1
neighborhoods 1
nephew 1
never 1
new 2
newcomers 1
nick 1
no 1
none 1
not 1
novel 1
of 17
on 1
only 2
or 1
order 1
others 1
out 3
outside 1
own 1
parallel 1
pass 1
peace 1
persecution 1
personal 1
peter 6
pilgrims 1
poor 1
poorest 1
powerful 1
prisoner 1
reaches 1
refugees 1
release 1
released 1
religious 1
rid 1
runaways 1
safety 1
sanctuary 1
satyrs 1
save 1
scaly 2
scottish 1
search 1
searching 2
secure 1
seeking 1
several 1
shake 1
sight 1
slow 1
so 2
spends 1
spoken 1
story 2
storyline 1
strong 1
stronghold 1
stuck 1
take 2
takes 1
taking 1
termed 1
that 3
the 54
their 5
them 1
these 1
they 8
things 2
this 1
those 1
throes 1
through 2
thus 1
time 1
to 12
trapped 1
twisted 2
ulfger 1
unexpected 1
unfortunately 1
unravel 1
unwanted 1
up 2
use 1
walk 1
war 2
warriors 1
were 4
when 2
while 1
will 1
willingly 1
with 1
within 1
without 1
wood 1
words 1
worlds 1
would 1
yet 1
