1213155
/m/04ht6q
/m/04ht6q
Bankim Chandra Chattopadhyay
1882
{"/m/05hgj": "Novel"}
1771 1
a 9
about 1
after 1
again 1
against 1
also 1
an 3
and 7
another 1
any 1
are 2
army 1
arrested 1
artillery 2
as 1
at 1
attack 1
away 1
baby 2
back 2
bank 1
battle 1
be 1
because 1
become 1
before 1
being 2
bengal 1
bharatmata 1
blockade 1
book 1
brick 1
bridge 3
british 9
building 1
but 2
by 2
can 1
cannons 1
capture 1
casualties 1
chase 1
chases 1
concurrently 1
consciousness 1
consecutive 1
continuing 1
deciphers 1
distinctive 1
dragged 1
durga 1
during 1
emboldened 1
ends 1
escape 1
experience 1
faces 1
fall 1
famine 3
fighting 1
fire 2
first 1
fleeing 1
food 1
for 2
force 1
forced 1
forest 1
fort 2
from 1
fueling 1
full 1
given 1
goddess 4
gradually 1
grows 1
has 1
he 3
headquarter 1
help 1
her 4
hideout 1
hindu 1
his 1
home 1
housewife 1
however 1
husband 1
idol 3
idols 1
in 6
india 3
infant 1
inflicting 1
influence 1
information 1
into 1
is 6
jagaddhatri 1
kali 1
kalyani 4
lack 1
lacking 1
large 1
leader 1
lines 1
long 1
loses 1
mahendra 4
make 1
manage 1
manhunters 1
military 2
monk 1
more 1
mother 4
nearby 1
not 1
of 8
on 1
once 1
opens 1
or 1
other 2
over 2
priest 3
priests 2
ranks 1
rebel 2
rebels 6
regime 1
rescues 1
retreat 1
reunited 1
revolt 1
river 2
robes 1
rooms 1
rule 1
sannyasis 1
see 1
sell 1
set 1
severe 1
she 1
shelter 1
shift 1
shows 1
sings 1
small 1
soldiers 1
some 2
song 1
spots 1
story 1
stumbles 1
support 1
swell 1
tactical 1
taking 1
the 34
their 3
them 1
they 3
three 3
through 1
to 7
training 1
trap 1
trying 1
turn 1
under 1
undisciplined 1
upon 1
was 1
wearing 1
were 1
what 3
while 1
who 2
will 2
winning 1
with 4
worshipped 1
