11133683
/m/02r14dz
/m/02r14dz
Christopher Buckley
2002
{"/m/06nbt": "Satire", "/m/05hgj": "Novel"}
a 6
accepts 1
accomplish 1
administered 1
affair 2
after 1
all 1
alleged 1
along 1
amount 1
an 2
and 6
anka 2
anything 1
appears 1
are 2
as 3
at 1
attempts 1
attorney 2
autopsy 1
babette 1
baby 1
barred 1
baylor 6
be 1
becomes 1
believed 1
beth 1
bill 1
bombshell 1
boyce 1
but 1
by 1
carrying 1
case 3
caused 1
cheating 1
circus 1
coincidentally 1
concluding 1
confesses 1
confirmed 1
confronted 1
court 1
courtroom 2
coverage 1
death 1
decides 1
declare 1
declared 2
dies 1
dose 1
during 1
expensive 1
extramarital 1
fight 1
find 1
first 3
fits 1
former 1
from 3
get 1
guilty 2
had 1
happens 1
have 1
he 1
head 1
her 2
him 1
hire 1
his 1
historic 1
hollywood 1
house 1
impress 1
in 3
incessant 1
injuries 1
innocent 1
instantly 2
into 1
is 6
it 1
jury 1
lady 3
large 1
later 1
law 1
longlost 1
lost 1
love 1
lover 1
macmann 3
media 4
millennium 1
most 2
much 1
must 1
new 1
night 1
not 1
oath 1
of 8
on 1
opinion 1
paul 1
planned 1
president 6
public 1
quick 1
rekindle 1
revere 1
same 1
school 1
secretly 1
serious 1
she 4
shenanigans 1
smothers 1
soon 1
spittoon 3
states 1
strikes 1
that 4
the 34
theatrics 1
their 1
they 1
throws 1
to 6
trial 4
two 1
under 1
united 1
unscrupulous 1
until 1
van 2
viagra 2
was 1
washington 1
weighs 1
which 2
white 1
who 1
wife 1
win 1
with 1
