11200223
/m/02r3fhz
/m/02r3fhz
Allan Baillie

a 11
about 1
advice 2
alone 1
an 1
and 10
ang 1
angkor 1
are 3
as 4
attempting 1
away 3
backdrop 1
beside 1
bicycle 2
bicycles 1
big 2
border 4
boy 5
bribes 1
brother 4
build 1
but 2
cambodia 2
character 1
city 1
deserted 1
doubt 1
elder 1
escape 1
experience 1
face 2
father 1
few 1
find 1
finds 3
fixes 1
flee 1
follow 1
follows 1
food 1
for 9
forages 1
forest 1
from 2
general 1
get 1
getting 1
gives 2
gold 3
gone 1
graveyard 1
has 2
he 4
hides 1
him 5
himself 3
his 5
horrible 1
hours 1
in 6
insight 1
instance 1
into 1
is 5
it 4
jumps 1
khmer 3
king 4
leaf 3
leave 1
left 1
lets 1
life 1
lines 2
little 3
long 1
main 1
make 1
manage 1
mang 3
meals 1
meets 1
mother 1
motor 2
much 1
muong 1
name 1
near 1
night 1
no 1
not 2
now 1
of 7
off 1
older 2
on 3
outskirts 1
paddy 1
payment 1
penh 1
phnom 1
plight 1
provides 1
pursuing 1
puzzled 1
real 1
refugees 1
reign 1
road 1
rouge 3
run 2
says 1
sees 1
separated 2
sister 1
soldiers 3
some 1
sorei 1
specific 1
starts 1
stays 1
struggle 1
suddenly 1
terror 1
than 1
that 1
the 29
their 4
then 1
they 5
this 1
though 1
to 8
too 1
traveling 2
travels 1
truck 2
trying 1
using 1
very 1
vithy 9
walks 1
water 1
what 1
when 1
which 1
whilst 1
will 1
with 3
worked 1
working 1
year 1
young 2
