34030507
/m/0hr6q54
/m/0hr6q54
Aaron Johnston

{"/m/06n90": "Science Fiction"}
a 28
able 2
aboard 2
accumulated 1
air 1
alien 4
all 1
along 1
also 2
among 1
an 5
and 19
antlike 1
any 2
appears 1
approaches 1
are 2
arrival 1
arrives 1
as 7
assigned 1
asteroid 2
at 3
attack 7
attackers 1
attempt 1
automated 1
avoid 1
away 2
back 2
backup 1
battle 2
be 3
been 2
begin 1
behind 1
believes 1
belt 1
books 1
both 1
broad 1
bulk 1
bump 2
but 4
by 2
call 1
called 1
captain 1
caseworker 1
cavador 16
children 1
chinese 2
chubs 2
clan 1
collision 1
come 1
competitors 1
confidential 2
confined 1
contact 2
continues 1
corporate 2
corporates 2
corporation 1
crew 8
datacube 1
death 1
decelerating 1
demonstrated 1
demonstrating 1
destroyed 1
destroys 3
detect 1
detected 1
detonates 1
detonation 1
disable 1
diverts 1
docked 1
downloading 1
drawing 1
due 1
during 2
early 1
earth 3
el 16
elite 1
emerge 1
enderverse 1
ends 1
engage 1
equipment 2
even 1
eventually 1
evidence 2
exchanged 1
execute 1
explosives 2
eye 1
eyes 1
family 1
fanatic 1
far 2
files 4
first 1
focuses 1
for 6
formic 7
formidable 1
founder 1
four 3
free 3
freemining 1
from 6
get 1
given 1
glaser 3
goes 1
gravity 2
hack 1
hacker 2
had 1
harddriving 1
haste 1
have 1
having 3
he 2
head 1
heir 1
help 1
helpless 1
helps 1
him 3
hinting 1
his 6
hive 1
hormigas 1
hull 1
humans 2
hurries 1
hypothetical 1
identifies 1
ignored 1
illegal 1
in 9
including 1
intact 1
intends 2
invasion 1
involving 1
is 13
it 2
italian 2
italians 1
its 3
journey 1
juke 2
jukes 7
junior 1
killed 2
kuiper 1
large 1
largely 1
largest 1
laser 1
laserline 2
launches 1
leadership 1
leave 1
lem 4
light 1
limited 2
living 1
looming 1
loss 1
loyalty 1
luna 3
make 1
makes 1
man 1
mans 1
meanwhile 2
meeting 1
men 3
message 1
metals 1
miner 1
miners 2
mining 6
mobile 1
modifies 1
moot 1
mops 2
more 1
movement 1
moves 1
multinational 1
name 1
near 1
nets 1
network 1
new 1
normally 1
of 19
on 5
one 2
only 2
onto 1
operations 1
ordeal 1
orders 1
other 1
otoole 2
out 3
perilous 1
pertaining 1
physiology 1
plan 2
plant 2
planting 1
pledge 1
pod 5
police 1
prepare 1
probe 1
process 1
processed 1
prolonged 1
promises 1
prompting 1
protect 1
protection 1
prying 1
pulls 1
queenworker 1
quickship 3
racing 1
radio 1
ram 1
realities 1
realize 1
realizing 1
recently 1
recognize 1
recruiting 1
region 1
relationship 1
remote 1
rescue 2
response 1
retaliation 1
revealed 2
revolutionize 1
roughnecks 1
ruin 1
rumors 1
scandal 1
search 1
secretly 1
section 1
seemingly 1
select 1
send 1
sends 2
service 1
set 1
sets 1
several 1
ship 14
shortrange 1
situation 1
skyscanner 1
small 1
smaller 1
sniffer 1
solar 1
soldiers 1
son 1
space 1
spaceship 1
special 1
speed 1
spread 1
station 4
step 1
still 1
story 1
strip 2
subsequently 1
success 1
suits 1
survivors 3
synchronized 1
system 1
take 1
testing 2
that 4
the 67
their 4
them 2
then 1
they 2
thinks 1
threat 1
threeman 1
to 38
too 1
toward 1
transmission 1
transmit 1
transmitter 1
trapped 1
ukko 1
under 1
unfortunately 1
up 2
use 1
used 1
using 2
venezuelan 1
very 1
vessel 3
victor 4
violent 1
volunteers 1
warn 1
warning 1
way 1
weapons 1
wearing 1
weigh 3
what 1
when 3
where 1
which 3
who 4
whole 1
will 2
wit 2
with 5
without 1
women 1
working 1
works 1
zealand 1
zero 1
