15316107
/m/03m4p82
/m/03m4p82
Jacqueline Wilson
2007-11-10
a 5
about 6
accepts 1
after 4
all 6
always 2
and 28
anyone 1
as 1
asked 1
asks 2
at 3
away 2
back 1
bathrooms 1
be 1
been 1
being 2
believed 1
birthday 1
bottle 1
bowling 2
boy 1
boyfriend 2
boys 1
brother 1
bullied 1
bunk 1
bushes 1
but 3
by 2
called 2
cared 1
carl 27
changed 1
claiming 1
collection 1
comes 1
cut 3
dad 1
damage 1
day 1
dismay 1
does 2
drifts 1
during 1
eager 1
end 1
even 1
everywhere 1
feel 1
feelings 1
find 1
finding 1
finds 2
fingers 1
for 2
found 1
friends 2
from 2
further 2
game 1
gardens 1
gay 2
get 1
gets 2
girl 1
girlfriend 1
girls 1
glass 8
go 6
goes 1
had 1
has 3
have 3
havent 1
he 11
hearing 1
her 7
hideandseek 2
high 1
him 6
his 4
hoping 1
hospital 1
how 1
hut 3
impress 1
impressing 1
in 4
instead 1
into 1
invites 1
is 7
it 1
jake 1
jules 2
keeps 1
kew 1
kiss 1
kissed 3
kisses 2
later 2
like 2
little 1
lost 1
lots 1
love 1
lunch 1
married 1
mcdonalds 1
meet 3
met 1
mick 1
miranda 9
moment 1
most 1
mother 2
needed 1
night 1
no 1
not 4
obsessed 1
of 2
off 1
older 1
on 3
one 1
out 3
party 1
paul 7
persuades 1
pervert 1
picked 1
play 1
playing 1
popular 1
problem 1
pushed 1
realizes 1
really 1
refused 1
ruined 1
same 1
says 1
school 6
see 4
sees 1
she 4
shine 1
since 3
small 1
smashed 1
smashing 1
so 1
spin 1
start 1
stitches 1
surprise 1
surprised 1
sylvie 22
taken 1
teased 1
tells 4
that 7
the 14
them 1
themselves 1
then 3
there 1
they 10
thinks 1
though 1
to 15
train 1
unfortunately 1
up 1
wanders 1
wanted 1
went 1
were 2
when 2
where 1
while 1
who 1
whom 1
why 1
will 3
wishes 1
with 5
would 1
wrist 1
